NO.,SPECIFICATION,,,,,,,,,,,,,,,,,,,,,MONTH,,,,,,,,,,,,TOTAL
,IMPORTER,BRAND,MODEL,CC,"TRANS
(AT/MT)","FUEL
(G/D)","TANK
CAPT","GVW
(Kg)","GEAR
RATIO","WHEEL &
TYRE SIZE",PS/HP,"WHEEL
BASE","DIMENSI ON
P x L x T",SEATER,DRIVE SYS.,,SPEED,DOOR,WHEELS,"CBU / CKD /
COMP","ORIGIN
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,
,,,CX-8 Touring,"2,488",AT,G,72,-,-,255/50R20,231,2930,5075 x 1969 x 1747,7,4X2,FF,-,5,4,CBU,Malaysia,2,4,12,13,2,-,-,-,-,-,-,-,33
,,,CX-8 Elite,"2,488",AT,G,72,-,-,255/50R20,231,2930,5075 x 1969 x 1747,7,4X2,FF,-,5,4,CBU,Malaysia,22,31,11,-,-,38,10,4,13,14,40,-,183
,,,TOTAL,,,,,,,,,,,,,,,,,,,266,293,439,558,153,230,82,413,351,207,215,185,"3,392"
14,PT. GARUDA MATARAM MOTOR,VOLKSWAGEN,Golf 2.0,2000,AT,G,-,1428,-,-,-,-,-,-,4X2,FF,-,5,4,CBU,Germany,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,Golf 1.4 TSI AT,1400,AT,G,-,-,3500,-,-,2637,4349 x 2027 x 1452,-,4X2,FF,-,5,4,CBU,Germany,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,Polo 1.2 GT TSI AT,1200,AT,G,-,-,-,-,-,-,-,5,4X2,FF,-,5,4,CBU,India,8,12,6,-,-,12,6,3,5,5,9,3,69
,,,TOTAL,,,,,,,,,,,,,,,,,,,8,12,6,-,-,12,6,3,5,5,9,3,69
15,PT. GARUDA MATARAM MOTOR,AUDI,A3 1.2 TFSI A/T,1275,AT,G,63,1455,3400,225/50/R17,170,2808,4701 x 1826 x 1427,5,4X2,FF,225,4,4,CBU,Germany,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,A5 2.0 TFSI,1984,AT,G,63,1465,3778,255/35/R18,211,2810,4625 x 1884 x 1372,5,4X4,4WD,-,2,4,CBU,Germany,-,-,-,-,-,-,-,-,1,-,-,-,1
,,,A5 2.0 TFSI A/T SB,1984,AT,G,54,1490,0,245/40/R18,190,2824,4757 x 1843 x 1386,5,4X2,FF,241,5,4,CBU,Germany,-,-,-,-,-,-,-,-,1,-,-,1,2
,,,Q3 1.4 TFSI A/T,1400,AT,G,64,-,-,-,-,-,-,5,4X4,4WD,250,4,4,CBU,Germany,-,1,-,-,1,-,2,1,1,1,-,1,8
,,,Q3 2.0 TFSI,1984,AT,G,64,1640,3765,235/50/R18,211,2603,4385 x 1831 x 1608,5,4X4,4WD,230,4,4,CBU,Germany,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,Q5 2.0 TFSI AT,1984,AT,G,75,1845,3692,255/55/R19,225,2807,4629 x 1880 x 1653,5,4X4,4WD,222,4,4,CBU,Germany,-,1,-,1,-,-,-,1,-,-,-,2,5
,,,Q7 3.0 TFSI AT,2995,AT,G,100,2245,4845,265/50/R19,272,3002,5089 x 2002 x 1695,7,4X4,4WD,222,4,4,CBU,Germany,-,-,-,3,-,-,-,-,1,-,-,-,4
,,,Q8 3.0 TFSI A/T,2995,AT,G,100,2245,4845,265/50/R19,272,3002,5089 x 2002 x 1695,7,4X4,4WD,222,4,4,CBU,Germany,1,1,1,-,2,1,1,3,-,-,2,1,13
,,,RS4 2.9 TFSI A/T,2900,AT,G,58,0,0,-,0,0,-,5,4X4,4WD,0,5,4,CBU,Germany,-,-,-,-,-,-,2,-,-,-,1,-,3
,,,RS5 2.9 TFSI A/T,2900,AT,G,61,-,-,-,-,-,-,5,4X4,4WD,0,5,4,CBU,Germany,-,-,-,-,-,1,-,-,-,-,-,-,1
,,,TOTAL,,,,,,,,,,,,,,,,,,,1,3,1,4,3,2,5,5,4,1,3,5,37
16,PT. MAXINDO RENAULT INDONESIA,RENAULT,New Koleos Signature,2500,AT,G,60,2100,-,225/60 R 18,170,2705,4672 x 1843 x 1673,5,4X2,FF,200,5,4,CBU,-,2,-,-,-,-,-,-,-,-,-,,,2
,,,New Kwid Climber,1000,AT,G,28,1109,-,-,-,-,-,5,4X2,FF,140,5,4,CBU,-,15,-,-,-,-,-,-,-,-,-,,,15
,,,Triber RXL MT,1000,MT,G,28,1109,-,-,-,-,-,7,4X2,FF,140,5,4,CBU,-,-,-,-,-,-,-,-,-,-,-,,,-
,,,Triber RXT MT,1000,MT,G,28,1109,-,-,-,-,-,7,4X2,FF,140,5,4,CBU,-,2,-,-,-,-,-,-,-,-,-,,,2
,,,Triber RXZ AT,1000,AT,G,28,1109,-,-,-,-,-,7,4X2,FF,140,5,4,CBU,-,27,-,-,-,-,-,-,-,-,-,,,27
,,,TOTAL,,,,,,,,,,,,,,,,,,,46,-,-,-,-,-,-,-,-,-,-,-,46
17,PT. HANDAL INDONESIA MOTOR (HIM),HYUNDAI - HIM,Grand i10,1200,MT,G,35,-,-,-,-,-,-,-,4X2,FF,-,4,4,CBU,India,-,1,-,-,-,-,-,-,-,-,-,-,1
,,,Grand i10 AT,1200,AT,G,35,-,-,-,-,-,-,-,4X2,FF,-,4,4,CBU,India,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,Kona,2000,AT,G,-,-,-,-,-,-,-,5,4X2,-,-,4,4,CBU,Korea,4,-,-,-,-,-,-,-,-,-,-,-,4
,,,New Santa FE CRDI,2200,AT,D,64,-,-,-,-,-,-,-,4X2,FF,-,4,4,CBU,Korea,1,-,-,-,-,-,-,-,-,-,-,-,1
,,,New Santa FE,2400,AT,G,64,-,-,-,-,-,-,-,4X2,FF,-,4,4,CBU,Korea,1,-,-,-,-,-,-,-,-,-,-,-,1
,,,H-100 PU,2600,MT,G,75,-,-,-,-,-,-,3,4X2,-,-,2,4,CBU,Korea,-,2,2,2,-,1,-,-,-,-,-,-,7
,,,H-100 Chs,2600,MT,G,75,-,-,-,-,-,-,3,4X2,-,-,2,4,CBU,Korea,-,1,-,-,-,-,1,-,-,-,1,1,4
,,,TOTAL,,,,,,,,,,,,,,,,,,,6,4,2,2,-,1,1,-,-,-,1,1,18
18,PT. HYUNDAI MOTORS INDONESIA (HMID),HYUNDAI - (HMID),Kona EV,-,AT,EV,-,2020,-,215/55/R17,-,2600,4180 x 1800 x 1570,5,4X2,-,-,5,4,CBU,South Korea,60,60,22,125,83,13,-,-,-,-,-,-,363
,,,Ioniq EV Prime,-,AT,EV,-,1970,-,205/60/R16,-,2700,4470 x 1820 x 1475,5,4X2,-,-,5,4,CBU,South Korea,22,4,5,-,-,-,-,-,-,-,-,-,31
,,,Ioniq EV Signature,-,AT,EV,-,1970,-,205/60/R16,-,2700,4470 x 1820 x 1475,5,4X2,-,-,5,4,CBU,South Korea,116,61,15,-,10,-,-,-,-,-,-,-,202
,,,Santa Fe D2.2 8DCT Style,2200,AT,D,67,2550,-,235/60/18,202,2765,4785 x 1900 x 1710,5,4X2,FF,-,5,4,CBU,South Korea,1,-,-,-,-,2,-,-,-,-,-,-,3
,,,Santa Fe D2.2 8DCT Prime,2200,AT,D,67,2550,-,235/60/18,202,2765,4785 x 1900 x 1710,5,4X2,FF,-,5,4,CBU,South Korea,24,7,24,-,-,3,-,-,-,-,24,-,82
,,,Santa Fe D2.2 8DCT Signature,2200,AT,D,67,2550,-,235/60/18,202,2765,4785 x 1900 x 1710,5,4X2,FF,-,5,4,CBU,South Korea,15,16,25,-,-,26,-,48,50,70,128,-,378
,,,Santa Fe G2.5 6AT Style,2500,AT,G,67,2510,-,235/60/18,180,2765,4785 x 1900 x 1710,5,4X2,FF,-,5,4,CBU,South Korea,-,1,-,10,-,3,-,-,-,-,-,-,14
,,,Santa Fe G2.5 6AT Prime,2500,AT,G,67,2510,-,235/60/18,180,2765,4785 x 1900 x 1710,5,4X2,FF,-,5,4,CBU,South Korea,2,16,10,-,9,2,-,-,-,-,25,1,65
,,,Santa Fe G2.5 6AT Signature,2500,AT,G,67,2510,-,235/60/18,180,2765,4785 x 1900 x 1710,5,4X2,FF,-,5,4,CBU,South Korea,8,20,1,-,-,5,50,40,8,-,42,19,193
,,,Palisade 2.2 CRDi,2200,AT,D,-,-,-,-,-,-,-,-,-,-,-,-,-,CBU,South Korea,69,80,103,135,78,46,94,120,249,126,179,82,"1,361"
,,,Palisade 2.2 CRDi AWD,2200,AT,D,-,-,-,-,-,-,-,-,-,-,-,-,-,CBU,South Korea,10,20,-,-,18,-,5,-,10,11,6,3,83
,,,Staria Signature 7,2200,AT,D,-,-,-,-,-,-,-,7,4X2,FF,-,5,4,CBU,South Korea,-,-,-,-,1,-,12,32,47,60,1,-,153
,,,Staria Signature 9,2200,AT,D,-,-,-,-,-,-,-,9,4X2,FF,-,5,4,CBU,South Korea,-,-,-,-,1,-,1,26,37,23,2,-,90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
,,,TOTAL,,,,,,,,,,,,,,,,,,,327,285,205,270,200,100,162,266,401,290,407,105,"3,018"
19,PT. TATA MOTORS DISTRIBUSI  INDONESIA,TATA MOTOR,Super Ace Dls,1405,MT,D,38,2170,4.1,165 R14 - 8 PR,70,2380,4340 x 1565 x 1858,2,4X2,FR,125,2,4,CBU,India,48,-,-,-,-,-,-,-,-,-,-,,48
,,,Prima LX 2528K,6700,MT,D,260,25000,5.58,10 x 20 - 16 PR NT,266,4570,7905 x 2500 x 3130,2,6X4,FR,100,2,10,CBU,India,16,-,-,-,-,-,-,-,-,-,-,,16
,,,ACE EX2,702,MT,D,30,1550,5.1,155 R13 LT - 8 PR,16,2100,3800 x 1500 x 1861,2,4X2,FR,70,2,4,CBU,India,10,-,-,-,-,-,-,-,-,-,-,,10
,,,LPT 913,5675,MT,D,120,9000,3.44,8.25 R 16-16 PR,130,3400,6210 x 2140 x 2341,2,4X2,FR,90,2,6,CBU,India,10,-,-,-,-,-,-,-,-,-,-,,10
,,,Ultra 1014/45,2956,MT,D,160,9990,4.857,235/75R 17.5,138,4530,8054x2204x2469,2,4X2,FR,95,2,6,CBU,India,5,-,-,-,-,-,-,-,-,-,-,,5
,,,Xenon RX,2956,MT,D,60,2950,3.7,215/75 R16,73,3150,5361 x 1860 x 1785,2,4X2,FR,120,2,4,CBU,India,4,-,-,-,-,-,-,-,-,-,-,,4
,,,Prima LX 3123T,5883,MT,D,365,31000,5.58,10.00 R20-16PR,230,6900,11235 x 2495 x 3155,3,8X2,FR,87,2,12,CBU,India,4,-,-,-,-,-,-,-,-,-,-,,4
,,,LPT 813,5675,MT,D,120,8050,3.111,7.50 R 16 - 14PR,127,3800,6860 x 2155 x 2341,3,4X2,FR,112,2,6,CBU,India,2,-,-,-,-,-,-,-,-,-,-,,2
,,,LPT 1116,5675,MT,D,160,12300,5.285,8.25R20 - 14PR,160,4200,7655 x 2260 x 2570,2,4X2,FR,105,2,6,CBU,India,2,-,-,-,-,-,-,-,-,-,-,,2
,,,TOTAL,,,,,,,,,,,,,,,,,,,101,-,-,-,-,-,-,-,-,-,-,-,101
20,PT. UNITED TRACTORS Tbk,SCANIA,P360CB-4X4,13000,MT,D,300,24500,5.14,12.00 R24,360,5100,10558 x 2500 x 3121,2,4X4,FF,9,2,4,CBU,Swedia,-,-,-,-,-,-,-,-,-,-,-,,-
,,,P410CB-4X4,13000,MT,D,300,24500,5.14,14.00 R20,410,4500,8211 x 2500 x 3062,2,4X4,FF,6,2,4,CBU,Swedia,-,-,-,-,-,-,-,-,-,-,-,,-
,,,TOTAL,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-
21,PT. ASTRA INTERNATIONAL  UD TRUCKS SALES OPERATION,UD TRUCK,CKE25042R,7698,MT,D,315,21000,5570,"11,00-20-16PR",250,5200,"8,975 x 2,500 x 3,220",3,4 x 2,FR,90,2,6,CBU,Thailand,-,-,-,5,15,-,-,-,-,20,14,10,64
,,,CGE37084R,10837,MT,D,405,41000,6370,"11,00-20-16PR",370,6970,"11,324 x 2,500 x 3,252",3,8 x 4,FR,90,2,12,CBU,Thailand,-,-,-,5,-,-,-,-,5,-,2,7,19
,,,RKE15042R,3760,MT,D,100,8500,4800,"7,50-16-14PR",150,3350,"6,258 x 2,206 x 2,540",3,4 x 2,FR,90,2,6,CBU,India,-,-,20,16,-,12,-,-,12,-,18,62,140
,,,TOTAL,,,,,,,,,,,,,,,,,,,-,-,20,26,15,12,-,-,17,20,34,79,223
22,PT. HINO MOTORS SALES INDONESIA,HINO,ZY - HR,12913,MT,D,330,"50,000",STD 5.41,12.00 R24,410,0+3750+,9290 x 2545 x 3205,2,8X4,FR,99,2,12,CBU,Japan,9,-,-,-,-,6,12,-,-,-,68,28,123
,,,ZS4141,12913,MT,D,330,"41,000",STD 7.21,12.00 R24,410,145+15,8245 x 2545 x 3205,2,6X4,FR,75,2,10,CBU,Japan,-,-,3,10,2,6,-,-,-,28,5,1,55
,,,TOTAL,,,,,,,,,,,,,,,,,,,9,-,3,10,2,12,12,-,-,28,73,29,178
23,PT. KERETA INDO ARTA,KIA,Picanto EX,1248,AT,G,35,1350,4336,165/60 R14,"64,4/6000 (kW/rpm)",2385,3592 x 1595 x 1480,5,4X2,FF,-,5,4,CBU,Korea,1,-,-,-,-,-,-,-,-,-,-,-,1
,,,Picanto GT-Line,1248,AT,G,35,1350,4336,165/60 R14,"64,4/6000 (kW/rpm)",2385,3592 x 1595 x 1480,5,4X2,FF,-,5,4,CBU,Korea,5,-,-,-,-,-,-,-,-,-,-,-,5
,,,Seltos EXP,1353,AT,G,55,1705,,215/60 R17,140/6000,2610,4315 x 1800 x 1620,5,4X2,FF,7,5,4,CBU,India,-,-,43,85,72,-,86,4,25,24,51,5,395
,,,Seltos EX,1353,AT,G,55,1705,,215/60 R17,140/6000,2610,4315 x 1800 x 1620,5,4X2,FF,7,5,4,CBU,India,8,-,-,-,-,-,-,-,-,-,-,-,8
,,,Seltos E,1353,AT,G,55,1705,,215/60 R17,140/6000,2610,4315 x 1800 x 1620,5,4X2,FF,7,5,4,CBU,India,1,1,-,-,3,2,-,-,1,-,-,-,8
,,,Grand Sedona,3342,AT,G,80,3050,3195,235/60 R18,270/6400,3060,5115 x 1985 x 1740,11,4X2,FF,6,5,4,CBU,Korea,1,-,-,-,-,-,-,-,-,-,-,-,1
,,,Grand Sedona,2199,AT,G,80,3050,3195,235/60 R18,270/6400,3060,5115 x 1985 x 1740,11,4X2,FF,6,5,4,CBU,Korea,5,2,2,-,1,1,-,1,5,-,-,-,17
,,,K-2700 BIG-UP PU,2665,MT,D,70,2950,4444,195 R14,58.5/4.150 (kW/rpm),2415,4820 x 1790 x 2070,3,4X2,FR,-,2,4,CBU,Korea,-,-,-,3,-,-,-,-,-,-,-,19,22
,,,K-2700 BIG-UP Chs,2665,MT,D,70,2950,4444,195 R14,58.5/4.150 (kW/rpm),2415,4820 x 1790 x 2070,3,4X2,FR,-,2,4,CBU,Korea,1,7,-,-,-,-,-,2,-,5,85,6,106
,,,Sonet Premiere,1500,AT,G,55,1705,0,215/60 R17,140/6000,2610,4315 x 1800 x 1620,5,4X2,FF,7,5,4,CBU,India,-,346,357,325,218,256,120,192,220,208,27,1,"2,270"
,,,Sonet Premiere,1500,MT,G,55,1705,0,215/60 R17,140/6000,2610,4315 x 1800 x 1620,5,4X2,FF,7,5,4,CBU,India,-,12,8,2,7,2,16,2,-,2,-,-,51
,,,Grand Carnival,2151,AT,D,80,0,0,235/60 R18,202/3800,3090,5115 x 1995 x 1750,11,4 x 2,FF,8,5,4,CBU,Korea,-,-,-,-,-,-,-,-,-,-,11,-,11
,,,TOTAL,,,,,,,,,,,,,,,,,,,22,368,410,415,301,261,222,201,251,239,174,31,"2,895"
24,PT DAIMLER COMMERCIAL VEHICLES INDONESIA,MERSEDES-BENZ CV,Axor 1623 C,6373,MT,D,260,16000,6.700 - 0.730,"10.00 - 20, Tube-type",231,3600,6230 x 2490 x 2955,2,4X2,FR,90,2,4,CBU,India,-,-,-,-,1,-,13,1,5,9,7,-,36
,,,Axor 1623 R / 51,6373,MT,D,255,16000,6.700 - 0.730,"10.00 - 20, Tube-type",231,5100,9130 x 2490 x 2910,2,4X2,FR,90,2,4,CBU,India,-,-,-,-,-,-,-,-,1,-,-,-,1
,,,Axor 1623 R / 60,6373,MT,D,255,16000,6.700 - 0.730,"10.00 - 20, Tube-type",231,6000,10475 x 2490 x 2910,2,4X2,FR,90,2,4,CBU,India,-,3,-,-,-,-,-,7,7,7,3,-,27
,,,Actros 4048 S,12816,AT,D,390,40000,11.722 - 0.687,325/95 R 24,476,3850,7550 x 2500 x 3656,2,6X4,FR,85,2,6,CBU,Germany,-,-,-,-,-,-,1,2,-,-,-,-,3
,,,Arocs 2545 A,12816,AT,D,390,25000,11.722 - 0.687,325/95 R 24,449,4500,8150 x 2500 x 3746,2,4x4,FA,85,2,4,CBU,Germany,-,-,-,1,2,-,-,-,-,-,-,-,3
,,,Arocs 4040 K,12816,AT,D,390,40000,11.722 - 0.687,325/95 R 24,394,4150,8250 x 2500 x 3847,2,6x4,FR,85,2,6,CBU,Germany,-,-,-,-,-,-,3,18,5,16,6,56,104
,,,Arocs 4045 AK,12816,AT,D,390,40000,11.722 - 0.687,325/95 R 24,449,4450,8250 x 2500 x 3952,2,6x6,FA,85,2,6,CBU,Germany,-,-,-,-,-,-,3,2,-,-,-,4,9
,,,Arocs 4845 K,12816,AT,D,390,48000,11.722 - 0.687,325/95 R 24,449,5700,9960 x 2500 x 3905,2,8x4,FR,85,2,8,CBU,Germany,-,5,5,5,33,2,8,11,1,-,-,20,90
,,,Axor 2523 R / 4500 (Bogie),6373,MT,D,380,25000,6.700 - 0.730,"10.00 R 20, Tube-type",231,4500,9867 x 2490 x 2935,2,6x2,FR,90,2,6,CBU,India,-,-,-,-,1,-,6,-,-,1,-,-,8
,,,Axor 2523 R / 57,6373,MT,D,380,25000,6.700 - 0.730,"10.00 R 20, Tube-type",231,5700,12000 x 2490 x 2935,2,6x2,FR,90,2,6,CBU,India,-,-,-,1,-,-,-,-,-,-,-,-,1
,,,Axor 2523 R / 5700 (Bogie),6373,MT,D,380,25000,6.700 - 0.730,"10.00 R 20, Tube-type",231,5700,12000 x 2490 x 2935,2,6x2,FR,90,2,6,CBU,India,-,-,-,-,-,-,-,17,9,1,-,-,27
,,,Axor 2528 R / 5700 (Bogie),6373,MT,D,380,25000,14.573 - 1.000,"10.00 R 20, Tube-type",380,5700,12000 x 2490 x 2935,2,6x2,FR,90,2,6,CBU,India,-,-,10,1,-,1,27,1,1,-,-,-,41
,,,Axor 2528 CH,6373,MT,D,255,26500,14.573 - 1.000,"11.00 - 20, Tube-type",280,4200,7840 x 2490 x 2990,2,6x4,FR,60,2,6,CBU,India,-,5,19,11,18,15,4,83,56,98,109,117,535
,,,Axor 3336 K,11970,AT,D,330,",500 techni",11.639 - 0.775,"315/80 R 22.5, Tubeless",354,4080,7755 x 2490 x 3232,2,6X4,FR,80,2,6,CBU,India,-,-,-,-,-,-,-,-,-,9,11,10,30
,,,Axor 4843 K,11970,AT,D,330,",000 techni",11.639 - 0.775,"12.00 R 24, Tube-type",428,5380,9425 x 2490 x 3490,2,8X4,FR,80,2,8,CBU,India,-,-,-,-,-,-,-,5,-,5,5,1,16
,,,OF 917 MT (WB 5300),3900,MT,D,200,10400,5.400 - 0.711,235/75 R 17.5,170,5300,8606 x 2199,,4X2,FR,110,,4,CBU,India,-,-,-,-,-,-,-,-,1,-,-,-,1
,,,OH 1626 L MT,6374,MT,D,300,16000,6.700 - 0.730,11.00 R 22.5,260,5950,12000 x 2498,,4X2,RR,120,,4,CKD,INA,-,-,-,-,-,-,2,-,-,-,-,-,2
,,,TOTAL,,,,,,,,,,,,,,,,,,,-,13,34,19,55,18,67,147,86,146,141,208,934
25,PT MERSEDES-BENZ INDONESIA,MERSEDES-BENZ PC,A 200 Progressive ( W177),1332,AT,G,43,1885,7,225/45 R18,163,2729,"4,419 x 1,992 x 1,440",5,4X2,FF,-,5,4,CBU,-,-,-,-,-,-,-,-,-,-,-,-,,-
,,,CLA 200 AMG Line (C118),1332,AT,G,43,1950,7,225/45 R18,163,2729,"4,695 x 1,999 x 1430",5,4X2,FF,-,4,4,CBU,-,-,2,3,2,10,2,-,-,-,-,-,,19
,,,AMG GT 53 4MATIC+ (X290)*,2999,AT,G,-,-,-,-,-,-,-,4,4X4,4WD,-,-,-,CBU,-,-,-,-,-,-,2,-,-,-,-,-,,2
,,,S 450 (V223),3000,-,G,65,-,-,-,-,-,-,-,-,-,-,-,-,CBU,-,-,-,7,-,30,4,-,-,-,-,-,,41
,,,GLA 200 Urban,1595,AT,G,50,1940,7,235/45 R19,156,2699,"4,424 x 2,022 x 1,494",5,4X2,FR,-,5,4,CBU,-,-,-,-,-,-,-,-,-,-,-,1,,1
,,,AMG G 63,3982,AT,G,100,3200,9,-,585,2890,"4,873 x 2,187 x 1,969",5,4X4,4WD,-,5,4,CBU,-,-,-,-,3,-,4,4,5,-,-,2,,18
,,,GLB 200 Progressive Line ( X247),1332,AT,G,-,-,-,-,-,-,-,7,4X2,FR,-,-,-,CBU,-,-,-,12,-,26,-,31,-,67,-,-,,136
,,,GLE 450 Coupe 4MATIC AMG Line (C,2999,AT,G,-,-,-,-,-,-,-,4,4X2,FR,-,-,-,CBU,-,-,1,-,-,-,-,-,-,-,-,-,,1
,,,AMG GLE 53 Coupe 4MATIC+ (C167)*,2999,AT,G,-,-,-,-,-,-,-,4,4X4,4WD,-,-,-,CBU,-,2,-,2,-,-,-,-,-,-,-,-,,4
,,,VITO,2148,AT,D,0,2940,0,-,0,0,-,0,0,0,0,5,0,CBU,Spanyol,1,-,-,-,-,-,-,-,-,-,-,,1
,,,V 260,1991,AT,G,0,2940,0,-,0,0,-,0,0,0,0,5,0,CBU,Spanyol,2,-,-,-,-,-,-,-,-,-,14,,16
,,,SPRINTER,2143,MT,G,0,5300,0,-,0,0,-,0,4X2,0,0,4,0,CBU,Spanyol,3,2,-,-,-,-,-,-,-,-,-,,5
,,,TOTAL,,,,,,,,,,,,,,,,,,,8,5,24,5,66,12,35,5,67,-,17,-,244
26,PT. NISSAN MOTOR INDONESIA,INFINITI,QX70 3.7,3696,AT,G,-,1940,-,-,-,-,-,-,4X4,AWD,-,5,4,CBU,UK,-,-,-,-,-,-,-,-,-,-,-,,-
,,,Q50 3.5 Hybrid,3498,AT,G,-,-,-,-,-,-,-,-,4X2,FR,-,4,4,CBU,UK,-,-,-,-,-,-,-,-,-,-,-,,-
,,,TOTAL,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-
27,PT. NISSAN MOTOR INDONESIA,NISSAN,New X-Trail Hybrid 2.0 CVT,1997,CVT,G,-,1820,-,-,-,-,-,5,4X2,-,-,5,4,CBU,Japan,-,-,-,-,-,-,-,-,-,-,-,,-
,,,Elgrand 2.5L (3 Row leather),2489,CVT,G,-,2410,-,225 / 55 / R18,"170 / 5,600",3000,"4,915 x 1,850 x 1,815",-,4X2,-,-,5,4,CBU,Japan,-,-,-,-,-,-,-,-,-,-,-,,-
,,,TOTAL,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-
28,PT. SAIC MOTOR INDONESIA,MORREIS GARAGE,ZS Activate 1.5L CVT,1498,AT,G,48,1258,-,215/60 R16,114,2585,4323 x 1809 x 1628,5,4X2,FF,4,5,4,CBU,Thailand,1,-,-,-,-,13,-,-,-,-,-,-,14
,,,ZS Ignite 1.5L CVT,1498,AT,G,48,1258,-,215/60 R16,114,2585,4323 x 1809 x 1653,5,4X2,FF,4,5,4,CBU,Thailand,1,-,-,-,-,20,-,-,-,-,-,-,21
,,,ZS Magnify 1.5L CVT,1498,AT,G,48,1258,-,215/55 R17,114,2585,4323 x 1809 x 1653,5,4X2,FF,4,5,4,CBU,Thailand,1,-,-,-,-,63,-,83,1,-,-,-,148
,,,HS Excite,1490,AT,G,55,1510,-,215/60 R17,162,2720,4574 x 1876 x 1664,5,4X2,FF,7,5,4,CBU,Thailand,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,HS Ignite,1490,AT,G,55,1510,-,235/50 R18,162,2720,4574 x 1876 x 1664,5,4X2,FF,7,5,4,CBU,Thailand,36,98,72,82,64,-,-,-,-,-,-,-,352
,,,HS i-Smart Magnify,1490,AT,G,55,1510,-,235/50 R18,162,2720,4574 x 1876 x 1664,5,4X2,FF,7,5,4,CBU,Thailand,-,4,36,-,40,84,-,17,79,-,-,72,332
,,,TOTAL,,,,,,,,,,,,,,,,,,,39,102,108,82,104,180,-,100,80,-,-,72,867
29,PT. Sokonindo Automobile,DFSK,GELORA C36 MINI BUS 1.5 (4X2) M/T,1498,MT,G,55,-,-,185/80 R14,109,3050,4500 X 1680 X 2000,11,4X2,FR,-,4,4,"CBU CBU
CBU",China,-,20,-,-,-,44,-,32,-,-,-,-,96
,,,GELORA EC35 BLIND VAN (4X2) A/T,1498,AT,G,58,2035,-,225/60R17,150,2780,4680 X 1845 X 1715,7,4X2,FF,-,4,4,,China,-,-,-,-,-,-,-,-,-,4,-,-,4
,,,GELORA EC36 MINI BUS 1.5 (4X2) A/,1498,AT,G,58,2035,-,225/60R17,150,2780,4680 X 1845 X 1715,7,4X2,FF,-,4,4,,China,-,-,-,-,-,-,-,-,-,4,-,-,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
,,,TOTAL,,,,,,,,,,,,,,,,,,,-,20,-,-,-,44,-,32,-,8,-,-,104
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TOTAL CBU IMPORT
CUMULATIVE CBU IMPORT",,,,,,,,,,,,,,,,,,,,,,"2,109","4,522","5,352","4,429","2,975","5,028","4,152","4,159","4,778","3,524","4,891","1,860","47,779"
,,,,,,,,,,,,,,,,,,,,,,"2,109","6,631","11,983","16,412","19,387","24,415","28,567","32,726","37,504","41,028","45,919","47,779",
