1.  SEDAN TYPE SALES                                                                                                                            `JAN-DEC 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,,SPECIFICATION,,,,,,,,,,,,,,,,,,,,MONTH,,,,,,,,,,,,SHARE BY BRAND,MARKET SHARE,TOTAL 2018
,,BRAND ,TYPE MODEL,CC ,TRANS,FUEL,"TANK
CAPT","GVW
(Kg)",GEAR RATIO,WHEEL & TYRE SIZE,PS / HP,WHEEL BASE,"DIMENSION
P x L xT",SEATER,DRIVE SYS.,,SPEED,DOOR,WHEELS,CBU / CKD ,"ORIGIN
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG ,SEP,OCT,NOV,DEC,,,
,,,JB31 540i,2000,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,4,CBU,Germany,-,-,-,-,-,1,-,-,-,-,-,-,0%,0%,1
,,,JL32 530I,2000,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,4,CBU,Germany,-,-,-,-,-,-,-,6,-,1,1,-,0.2%,0.1%,8
,,,JV22 630I,2000,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,4,CBU,Germany,-,-,-,-,-,-,-,1,2,-,-,1,0.1%,0.1%,4
,,,7E26 740LI,2979,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,-,CKD,INA,1,1,3,5,18,1,3,7,1,5,3,7,1.7%,0.8%,55
,,HYUNDAI,All New Sonata GLS,2400,AT,G,70,2030,-,-,-,-,4820 x 1835 x 1470,4,4X2,-,-,4,4,CBU,Korea,-,-,-,-,-,-,1,-,-,-,-,-,0%,0%,1
,,HONDA,New ACCORD VTi-L,2354,AT,G,65,1525,-,-,176,2275,4870 x 1850 x 1465,5,4X2,FF,-,4,4,CBU,Thailand,10,15,3,28,30,14,29,29,20,21,11,-,6.4%,3.1%,210
,,LEXUS,Lexus ES 300 H,2494,AT,G,65,0,0,215 / 55 R17,202 / 5700,2820,4900X1820X1450,4,4X2,FR,0,4,4,CBU,Japan,-,5,2,1,-,1,-,13,16,-,8,1,1.4%,0.7%,47
,,MAZDA,MX5,1999,AT,G,50,-,3863,205/45R17,160,2330,4020 x 1720 x 1255,2,4X2,FF,-,4,4,CBU,Japan,8,7,6,4,4,1,5,4,3,2,5,1,1.5%,0.7%,50
,,,All New Mazda6,2488,AT,G,64,-,4056,225/45R19,187,2830,4865 x 1840 x 1450,5,4X2,FF,-,4,4,CBU,Japan,5,2,2,103,194,2,3,3,5,-,1,2,9.8%,4.8%,322
,,,MY15 New Mazda6,2488,AT,G,64,-,4056,225/45R19,187,2830,4865 x 1840 x 1450,5,4X2,FF,-,4,4,CBU,Japan,-,-,-,-,-,-,-,-,4,3,2,16,0.8%,0.4%,25
,,NISSAN,New Teana (FMC '14),2496,AT,G,70,1930,-,215 / 55 / R17,182,2775,"4,850 x 1,795 x 1,485",5,4X2,-,-,4,4,CBU,Thailand,5,2,1,-,1,1,4,8,2,6,7,-,1.1%,0.6%,37
,,TOYOTA,All New Corolla Altis G,1800,MT,G,55,1250,4,205/55R16,151 / 6400,2700,4620X1776X1460,5,4X2,FF,-,4,4,CBU,Thailand,-,-,-,1,-,3,6,8,5,2,1,-,0.8%,0.4%,26
,,,All New Corolla Altis V AT,1800,AT,G,55,1270,5,21545R17,151 / 6400,2700,4620X1776X1460,5,4X2,FF,-,4,4,CBU,Thailand,37,59,55,40,63,38,34,58,48,55,70,5,17.2%,8.4%,562
,,,All New Camry 2.5 G,2500,AT,G,70,1465,3815,215/60R16,181 / 6000,2775,4825X1825X1470,5,4X2,FF,-,4,4,CBU,Thailand,-,-,-,-,-,-,-,-,-,-,-,1,0%,0%,1
,,,All New Camry 2.5 V,2500,AT,G,70,1465,3815,215/55R17,181 / 6000,2775,4825X1825X1470,5,4X2,FF,-,4,4,CBU,Thailand,-,-,-,-,-,-,-,-,-,-,-,1,0%,0%,1
,,,All New Camry 2.5 Hybrid,2500,AT,G,65,1625,3542,215/55R17,156.6 /5700,2775,4825X1825X1470,5,4X2,FF,-,4,4,CBU,Thailand,-,-,-,-,-,-,-,-,-,-,-,1,0%,0%,1
,,,All New Camry 2.5 G,2500,AT,G,70,1465,3815,215/60R16,181 / 6000,2775,4825X1825X1470,5,4X2,FF,-,4,4,CBU,Thailand,5,8,2,4,7,22,87,6,4,1,-,-,4.5%,2.2%,146
,,,All New Camry 2.5 V,2500,AT,G,70,1465,3815,215/55R17,181 / 6000,2775,4825X1825X1470,5,4X2,FF,-,4,4,CBU,Thailand,43,133,88,94,58,39,33,49,16,1,-,-,16.9%,8.3%,554
,,,All New Camry 2.5 Hybrid Mi,2500,AT,G,65,1625,3542,215/55R17,156.6 /5700,2775,4825X1825X1470,5,4X2,FF,-,4,4,CBU,Thailand,1,3,5,4,4,3,4,-,-,-,-,-,0.7%,0.4%,24
,,,86 AT,2000,AT,G,50,-,-,215/45/R17,147 / 6.800,2570,4240X1775X1285,5,4X2,FR,-,4,4,CBU,Japan,-,-,-,-,-,1,-,-,-,1,-,1,0.1%,0%,3
,,,86 TRD,2000,AT,G,50,-,-,215/45/R17,147 / 6.800,2570,4240X1775X1285,5,4X2,FR,-,4,4,CBU,Japan,3,1,3,5,5,3,3,9,3,1,1,-,1.1%,0.6%,37
,,,86 Aero,2000,AT,G,50,-,-,215/45/R17,147 / 6.800,2570,4240X1775X1285,5,4X2,FR,-,4,4,CBU,Japan,2,-,1,3,1,7,2,5,1,2,1,-,0.8%,0.4%,25
,,,86 MT,2000,MT,G,50,-,-,215/45/R17,147 / 6.800,2570,4240X1775X1285,5,4X2,FR,-,4,4,CBU,Japan,-,-,1,1,-,1,-,1,-,1,-,1,0.2%,0.1%,6
,,TOTAL,,,,,,,,,,,,,,,,,,,,233,312,261,435,546,271,279,266,204,155,213,98,100%,49%,3273
,,CUMULATIVE,,,,,,,,,,,,,,,,,,,,233,545,806,1241,1787,2058,2337,2603,2807,2962,3175,3273,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"CC > 3.001 [G]
/ 2.501 [D]",AUDI ,RS4 4.2 AT,4200,AT,G,61,-,-,265/30/R20,450,2813,4719 x 1850 x 1416,5,4X4,4WD,250,4,4,CBU,Germany,-,-,-,-,-,-,-,-,-,-,-,-,0%,0%,-
,,,RS5 4.2 AT,4200,AT,G,61,-,-,265/30/R20,450,2751,4649 x 1860 x 1366,5,4X4,4WD,250,2,4,CBU,Germany,-,-,-,-,-,-,-,-,-,-,-,-,0%,0%,-
,,,R8 V10,5204,AT,G,90,-,3313,"35/35/R19 at fr, 295/30/R19 at",525,2650,4440 x 1929 x 1252,2,4X4,4WD,314,2,4,CBU,Germany,-,-,-,-,-,-,-,-,-,-,-,-,0%,0%,-
,,BMW,7E06 730LI,2993,AT,D,-,-,-,-,-,-,-,-,4X2,-,-,4,4,CKD,INA,1,19,18,12,23,3,1,4,4,12,12,13,62.9%,1.8%,122
