1.   SEDAN TYPE PRODUCTION                                     `JAN-DEC 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,,SPECIFICATION,,,,,,,,,,,,,,,,,,,,,MONTH,,,,,,,,,,,,Segmt Share,Sedan Share,TOTAL 2023
,,BRAND,ASSEMBLER,TYPE / MODEL,CC,TRANS,"FUEL
(G/D)","TANK
CAPT","GVW
(Kg)",GEAR RATIO,WHEEL & TYRE SIZE,PS / HP,"WHEEL
BASE","DIMENSION
P x L x T",SEATER,DRIVE SYS.,,SPEED,DOOR,WHEELS,CBU,"ORIGIN
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,,
,,,,Gran Max  MB 1.5 HI,"1,500",MT,G,43,"1,840","4,875",165R1308PR,88,"2,650",4045X1665X1900,9,4X2,FR,-,5,4,CKD,INA,198,-,191,138,137,171,206,53,53,30,30,40,0.2%,0.1%,"1,247"
,,CHERY,PT Handal Indonesia Motor,TIGGO 7 PRO PREMIUM,"1,500",AT,G,51,-,-,-,-,"2,670",4500X1842X1746,5,4X2,-,-,5,4,CKD,INA,58,81,19,41,63,3,2,2,-,-,1,2,0.0%,0.0%,272
,,,,TIGGO 7 PRO LUXURY,"1,500",AT,G,51,-,-,-,-,"2,670",4500X1842X1746,5,4X2,-,-,5,4,CKD,INA,20,27,-,14,-,-,-,31,26,2,1,-,0.0%,0.0%,121
,,,,TIGGO 7 PRO COMFORT,"1,500",AT,G,51,-,-,-,-,"2,670",4500X1842X1746,5,4X2,-,-,5,4,CKD,INA,19,27,-,14,-,-,1,-,1,1,-,-,0.0%,0.0%,63
,,,,OMDA  5 Z,"1,500",CVT,G,-,-,-,-,-,-,-,5,4X2,-,-,5,4,CKD,INA,-,-,-,-,172,173,237,65,55,43,112,95,0.1%,0.1%,952
,,,,GT,"1,500",CVT,G,-,-,-,-,-,-,-,5,4X2,-,-,5,4,CKD,INA,-,-,-,-,-,-,-,-,4,98,75,59,0.0%,0.0%,236
,,,,OMDA  5 RZ,"1,500",CVT,G,-,-,-,-,-,-,-,5,4X2,-,-,5,4,CKD,INA,-,-,146,416,511,731,674,555,240,122,116,146,0.5%,0.4%,"3,657"
,,BMW,PT. Gaya Motor,X1 sDrive18i U11 A7 A/T,"1,499",AT,G,45,"2,075",-,225/55 R18 102Y,156,"2,692",4500 x  1845 x  1642,-,4X2,FF,-,-,4,CKD,INA,-,-,-,-,34,10,50,21,73,70,27,61,0.0%,0.0%,346
,,MINI,PT. Gaya Motor,Cooper Countryman F60 CKD AT,"1,499",AT,G,61,"1,990",-,225/50 R18 95W,136,"2,670",4297 x  1822 x  1557,-,4X2,FF,-,-,4,CKD,INA,-,-,-,16,8,-,-,19,4,19,64,3,0.0%,0.0%,133
,,DFSK,PT. Sokonindo Automobile,GELORA  C35 BLIND VAN 1.5 (4X2) M/T,"1,498",MT,G,55,-,-,185/80 R14,109,"3,050",4500 X 1680 X 2000,2,4X2,FR,-,4,4,CKD,INA,60,30,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,90
,,,,GELORA  EC35 BLIND VAN (4X2) A/T,-,AT,EV,58,"2,035",-,225/60R17,150,"2,780",4680 X 1845 X 1715,7,4X2,FF,-,4,4,CKD,INA,-,10,20,20,-,20,-,-,-,-,-,20,0.0%,0.0%,90
,,,,GELORA  EC36 MINI BUS 1.5 (4X2) A/T,-,AT,EV,58,"2,035",-,225/60R17,150,"2,780",4680 X 1845 X 1715,7,4X2,FF,-,4,4,CKD,INA,-,10,20,20,-,20,-,-,-,-,40,-,0.0%,0.0%,110
,,,,GLORY  580 1.5T AT CVT LUXURY,"1,498",AT,G,58,"2,035",-,226/60R17,150,"2,780",4680 X 1845 X 1715,7,4X2,FF,-,4,4,CKD,INA,-,-,-,-,20,-,-,-,-,-,-,50,0.0%,0.0%,70
,,,,GLORY  580 1.5T AT CVT COMFORT,"1,498",AT,G,58,"2,035",-,226/60R17,150,"2,780",4680 X 1845 X 1715,7,4X2,FF,-,4,4,CKD,INA,-,-,-,-,30,50,-,-,-,-,-,-,0.0%,0.0%,80
,,,,GLORY  I0AUTO,"1,498",AT,G,58,"2,035",-,225/60R17,150,"2,780",4680 X 1845 X 1715,7,4X2,FF,-,4,4,CKD,INA,-,-,-,-,-,-,-,-,-,1,-,20,0.0%,0.0%,21
,,SERES,PT. Sokonindo Automobile,E502 EV  (4X2) A/T,-,-,EV,-,-,-,-,-,-,-,4,4X2,-,-,-,-,CKD,INA,-,-,-,-,-,-,-,3,-,-,70,60,0.0%,0.0%,133
,,,,E502 EV  B (4X2) A/T,-,-,EV,-,-,-,-,-,-,-,4,4X2,-,-,-,-,CKD,INA,-,-,-,-,-,-,-,2,-,-,-,-,0.0%,0.0%,2
,,HONDA,PT. Honda Prospect Motor,CITY  HB RS,"1,500",MT,G,40,-,-,16 x  6J,121,"2,600",4349 x  1748 x  1488,-,4X2,FF,-,5,4,CKD,INA,-,60,60,-,-,-,-,-,-,-,-,-,0.0%,0.0%,120
,,,,CITY  HB RS,"1,500",CVT,G,40,-,-,16 x  6J,121,"2,600",4349 x  1748 x  1488,-,4X2,FF,-,5,4,CKD,INA,19,120,180,-,180,300,240,540,60,60,60,120,0.2%,0.2%,"1,879"
