NO.,SPECIFICATION,,,,,,,,,,,,,,,,,,,,,,,,,,,MONTH,,,,,,,,,,,,TOTAL
,EXPORTER,,,BRAND,,,,MODEL,,,CC,"TRANS
(AT/MT)","FUEL
(G/D)","TANK
CAPT","GVW
(Kg)",GEAR,WHEEL & TYRE SIZE,PS / HP,WHEEL BASE,"DIMENSI ON
P x L x T",SEATER,DRIVE SYS.,SPEED,DOOR,WHEELS,CBU / CKD / COMP,"DEST.
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,
1      CBU EXPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rush (Philipines),,,"1,496",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rush (Brunei),,,"1,496",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rush (Guatemala),,,"1,496",,MT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rush (Guatemala),,,"1,496",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rush (St Vincen),,,"1,496",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rush (Jamaica),,,"1,496",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rush (Panama),,,"1,496",,MT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rush (Panama),,,"1,496",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rush (Kuwait),,,"1,496",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rush (Oman),,,"1,496",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rush (South Africa),,,"1,496",,MT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rush (South Africa),,,"1,496",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rush (Saudi Arabia),,,"1,496",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rush (UAE),,,"1,496",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rush (Bahrain),,,"1,496",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rush (Qatar),,,"1,496",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rush (Lebanon),,,"1,496",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rush (West Africa),,,"1,496",,MT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rush (West Africa),,,"1,496",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rush (Pakistan),,,"1,496",,MT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rush (Pakistan),,,"1,496",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rush (Iraq),,,"1,496",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
