"A.  WHOLESALES","","","","WHOLESALES - RETAIL SALES - PRODUCTION - EXPORT IMPORT BY CATEGORY JAN JUL 2025","","","","","","","","","","","","","",""
"CATEGORY","","","MONTH","","","","","","","","","","","","","MARKET
2025","SHARE
%",""
"02","4X2 TYPE","CC < 1.500 (G/D)","47,138","","55,962","53,128","42,820","52,963","57,332","64,637","-","-","-","-","-","373,980","56.8%",""
"","","1.501 < CC < 2.500 (G/D)","9,582","","8,878","8,262","7,442","8,064","8,100","8,322","-","-","-","-","-","58,650","8.9%",""
"","","2.501 < CC < 3.000 (G)","3,994","","3,337","3,445","3,849","3,653","3,545","4,509","-","-","-","-","-","26,332","4.0%",""
"","","CC > 3.001 (G)/2.500 (D)","-","","-","-","-","-","-","-","-","-","-","-","-","-","0.0%",""
"","SUB TOTAL","","60,714","","68,177","64,835","54,111","64,680","68,977","77,468","-","-","-","-","-","458,962","69.7%",""
"03","4X4 TYPE","CC < 1.500 (G/D)","251","","568","860","711","711","421","522","-","-","-","-","-","4,044","0.6%",""
"","","1.501 < CC < 3.000 (G)/2.500 (D)","552","","661","804","397","687","365","487","-","-","-","-","-","3,953","0.6%",""
"","","CC > 3.001 (G)/2.500 (D)","1,064","","1,045","837","1,190","963","887","1,285","-","-","-","-","-","7,271","1.1%",""
"","SUB TOTAL","","1,867","","2,274","2,501","2,298","2,361","1,673","2,294","-","-","-","-","-","15,268","2.3%",""
"04","BUS","GVW          5 - 10        Ton (G/D)","341","","254","431","209","270","363","265","-","-","-","-","-","2,133","0.3%",""
"","","GVW         10 - 24       Ton (G/D)","84","","99","166","54","62","69","87","-","-","-","-","-","621","0.1%",""
"","","GVW           > 24         Ton (G/D)","-","","-","-","-","-","-","-","-","-","-","-","-","-","0.0%",""
"","SUB TOTAL","","425","","353","597","263","332","432","352","-","-","-","-","-","2,754","0.4%",""
"05","PICK UP","GVW            < 5          Ton (G/D)","7,393","","8,182","7,096","5,960","8,007","7,940","9,345","-","-","-","-","-","53,923","8.2%",""
"06","TRUCK","GVW          5 - 10        Ton (G/D)","3,543","","3,793","2,849","2,614","2,695","2,479","2,859","-","-","-","-","-","20,832","3.2%",""
"","","GVW         10 - 24       Ton (G/D)","270","","270","179","219","333","187","360","-","-","-","-","-","1,818","0.3%",""
"","","GVW           > 24         Ton (G/D)","1,663","","1,716","920","932","906","786","749","-","-","-","-","-","7,672","1.2%",""
"","SUB TOTAL","","5,476","","5,779","3,948","3,765","3,934","3,452","3,968","-","-","-","-","-","30,322","4.6%",""
"07","DOUBLE CABIN","GVW            < 5          Ton (G/D)
For all CC","-","","-","-","-","-","-","-","-","-","-","-","-","-","0.0%",""
"","SUB TOTAL","","-","","-","-","-","-","-","-","-","-","-","-","-","-","0.0%",""
"8 .","AFFORDABLE ENERGY SAVING CARS 4X2","CC ≤ 1200 (G)","17,109","","15,670","16,028","12,699","11,913","9,948","12,759","-","-","-","-","-","96,126","14.6%",""
"","","CC ≤ 1500 (D)","-","","-","-","-","-","-","-","-","-","-","-","-","-","0.0%",""
"","SUB TOTAL","","17,109","","15,670","16,028","12,699","11,913","9,948","12,759","-","-","-","-","-","96,126","14.6%",""
"","","","","","","","","","","","","","","","","","",""
"PRODUCTION TOTAL","","","93,330","","100,752","95,187","79,319","91,396","92,541","106,296","-","-","-","-","-","658,821","100%",""
"PRODUCTION CUM. TOTAL","","","93,330","","194,082","289,269","368,588","459,984","552,525","658,821","","","","","","","",""
"D.  EXPORTS","","","","","","","","","","","","","","","","","",""
"CBU (UNIT)","","","33,423","","36,789","39,921","34,663","47,926","41,224","50,339","-","-","-","-","-","284,285","",""
"CKD (SET)","","","3,015","","4,398","4,564","2,640","7,502","6,520","6,206","-","-","-","-","-","34,845","",""
"COMPONENTS (PIECES)","","","7,319,325","","10,730,833","14,260,063","8,723,878","12,082,768","13,407,856","11,133,588","-","-","-","-","-","77,658,311","",""
"E.  IMPORTS","","","","","","","","","","","","","","","","","",""
"CBU (UNIT)","","","9,031","","12,502","11,241","8,965","9,319","10,606","15,091","-","-","-","-","-","76,755","",""
"©GAIKINDO-25","","","","","","","","","","","","","","","","","",""
"GAIKINDO
WHOLESALES - RETAIL SALES - PRODUCTION - EXPORT IMPORT BY CATEGORY JAN JUL 2024/2025
A.  WHOLESALES","","","","","","","","","","","","","","","","","",""
