1   SEDAN TYPE SALES                                                                                                              `JAN DEC 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,,SPECIFICATION,,,,,,,,,,,,,,,,,,,,MONTH,,,,,,,,,,,,SHARE BY BRAND,MARKET SHARE,TOTAL 2020
,,BRAND,TYPE MODEL,CC,TRANS,FUEL,"TANK
CAPT","GVW
(Kg)",GEAR RATIO,WHEEL & TYRE SIZE,PS / HP,WHEEL BASE,"DIMENSION
P x L xT",SEATER,DRIVE SYS.,,SPEED,DOOR,WHEELS,CBU / CKD,"ORIGIN
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,,
,,,All New  Camry  2.5 Hybrid Mi,2500,AT,HYBRID,65,1625,3542,215/55R17,156.6 /5700,2775,4825X1825X1470,5,4X2,FF,-,4,4,CBU,Thailand,9,30,31,6,-,7,20,11,5,10,1,-,3.6%,2.7%,130
,,,86 AT,2000,AT,G,50,-,-,215/45/R17,147 / 6.800,2570,4240X1775X1285,5,4X2,FR,-,4,4,CBU,Japan,-,-,-,-,-,1,-,-,-,-,-,-,0.0%,0.0%,1
,,,86 TRD,2000,AT,G,50,-,-,215/45/R17,147 / 6.800,2570,4240X1775X1285,5,4X2,FR,-,4,4,CBU,Japan,-,3,6,1,1,2,2,8,-,1,-,2,0.7%,0.5%,26
,,,86 Aero,2000,AT,G,50,-,-,215/45/R17,147 / 6.800,2570,4240X1775X1285,5,4X2,FR,-,4,4,CBU,Japan,-,1,2,-,-,-,1,3,-,-,1,-,0.2%,0.2%,8
,,,Crow n 2.5 Hybrid,2500,AT,HYBRID,-,-,-,-,-,-,-,5,4X2,FR,-,4,4,CBU,Japan,-,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,-
,,,Supra 3.0 A/T,2459,AT,G,50,-,-,-,-,-,-,5,4X2,FR,6,4,4,CBU,Japan,2,-,-,-,-,-,-,-,8,4,-,1,0.4%,0.3%,15
,,,86 MT,2000,MT,G,50,-,-,215/45/R17,147 / 6.800,2570,4240X1775X1285,5,4X2,FR,-,4,4,CBU,Japan,-,-,-,-,-,-,-,2,-,-,-,-,0.1%,0.0%,2
,,TOTAL,,,,,,,,,,,,,,,,,,,,278,500,534,95,56,159,358,303,225,325,437,316,100%,76%,"3,586"
,,CUMULATIVE,,,,,,,,,,,,,,,,,,,,278,778,"1,312","1,407","1,463","1,622","1,980","2,283","2,508","2,833","3,270","3,586",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"CC > 3.001 [G]
/ 2.501 [D]",AUDI,RS4 4.2 AT,4200,AT,G,61,-,-,265/30/R20,450,2813,4719 x  1850 x  1416,5,4X4,4WD,250,4,4,CBU,Germany,-,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,-
