1.  SEDAN TYPE PRODUCTION                `JAN-DEC 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,,SPECIFICATION,,,,,,,,,,,,,,,,,,,,,MONTH,,,,,,,,,,,,Segmt Share,Sedan Share,
,,BRAND,ASSEMBLER,TYPE / MODEL,CC,TRANS,"FUEL
(G/D)","TANK
CAPT","GVW
(Kg)",GEAR RATIO,WHEEL & TYRE SIZE,PS / HP,BASE,P x L x T,SEATER,DRIVE SYS.,,SPEED,DOOR,WHEELS,CBU,"ORIGIN
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,,
,,,,Rocky 1.2 M  CVT,"1,200",AT,G,36,"1,680","5,105",205/65/R16,88,"2,525",4030X1710X1635,5,4X2,FR,-,5,4,CKD,INA,17,25,6,6,26,12,12,-,-,-,-,-,0.0%,0.0%,104
,,,,Rocky 1.2 M  MT,"1,200",MT,G,36,"1,680","5,462",205/65/R16,88,"2,525",4030X1710X1635,5,4X2,FR,-,5,4,CKD,INA,8,11,5,5,13,12,12,-,-,-,-,12,0.0%,0.0%,78
,,,,Luxio 1.5 D (New),"1,495",MT,G,43,"1,290","5,152",195/65R15,97,"2,650",4215X1710X1915,8,4X2,FR,-,5,4,CKD,INA,50,25,31,17,75,76,67,62,48,67,55,56,0.1%,0.1%,629
,,,,Luxio 1.5 X MT  (New),"1,298",MT,G,45,"1,320","5,152",195/65R15,97,"2,650",4215X1710X1915,8,4X2,FR,-,5,4,CKD,INA,109,124,132,53,127,122,149,153,127,131,124,115,0.2%,0.2%,"1,466"
,,,,Luxio 1.5 X AT  (New),"1,495",AT,G,43,"1,320","5,152",195/65R15,97,"2,650",4215X1710X1915,8,4X2,FR,-,5,4,CKD,INA,54,48,35,24,75,57,64,51,54,46,70,69,0.1%,0.1%,647
,,,,Luxio 1.5 AK MT,"1,495",MT,G,43,"1,320","5,152",195/65R15,97,"2,650",4215X1710X1915,2,4X2,FR,-,5,4,CKD,INA,5,5,4,4,4,15,4,10,5,10,2,10,0.0%,0.0%,78
,,,,All  New Terios Ids X Mt (Mc 2023),"1,496",MT,G,45,"1,870","5,571",215/65/R16,104,"2,685",4455X1695X1705,7,4X2,FR,-,5,4,CKD,INA,"1,011","1,137","1,035",638,634,522,554,740,789,765,757,788,1.4%,1.2%,"9,370"
,,,,All  New Terios Ids X At (Mc 2023),"1,496",AT,G,45,"1,870","5,857",215/65/R16,104,"2,685",4455X1695X1706,7,4X2,FR,-,5,4,CKD,INA,255,302,469,215,211,196,202,251,253,276,307,271,0.5%,0.4%,"3,208"
,,,,All  New Terios Ids R Mt (Mc 2023),"1,496",MT,G,45,"1,870","5,571",215/60/R17,104,"2,685",4455X1695X1707,7,4X2,FR,-,5,4,CKD,INA,448,256,320,176,236,227,197,204,214,187,170,223,0.4%,0.4%,"2,858"
,,,,All  New Terios Ids R At (Mc 2023),"1,496",AT,G,45,"1,870","5,857",215/60/R17,104,"2,685",4455X1695X1708,7,4X2,FR,-,5,4,CKD,INA,157,200,148,129,152,118,106,122,95,83,75,85,0.2%,0.2%,"1,470"
,,,,All  New Terios Ids Custom  Mt (Mc 2023),"1,496",MT,G,45,"1,870","5,571",215/60/R17,104,"2,685",4455X1695X1709,7,4X2,FR,-,5,4,CKD,INA,46,49,61,46,38,39,40,46,45,32,46,32,0.1%,0.1%,520
,,,,All  New Terios Ids Custom  At (Mc 2023),"1,496",AT,G,45,"1,870","5,857",215/60/R17,104,"2,685",4455X1695X1710,7,4X2,FR,-,5,4,CKD,INA,55,60,54,26,41,24,21,20,20,14,22,19,0.1%,0.0%,376
,,,,Gran Max BV 1.3,"1,298",MT,G,43,"2,000","5,125",165R1308PR,88,"2,650",4045X1665X1900,2,4X2,FR,-,5,4,CKD,INA,596,499,516,292,939,"1,396",464,271,843,"1,203",764,"1,039",1.3%,1.1%,"8,822"
,,,,"Gran Max BV 1,5","1,500",MT,G,43,"2,000","5,125",165R1308PR,88,"2,650",4045X1665X1900,2,4X2,FR,-,5,4,CKD,INA,-,-,1,3,74,-,-,-,-,13,270,-,0.1%,0.0%,361
,,,,Gran Max MB 1.3 HI,"1,298",MT,G,43,"1,840","5,125",165R1308PR,88,"2,650",4045X1665X1900,9,4X2,FR,-,5,4,CKD,INA,176,193,105,88,345,396,266,57,122,200,114,246,0.3%,0.3%,"2,308"
,,,,Gran Max MB 1.3 HI   FF,"1,298",MT,G,43,"1,840","5,125",165R1308PR,88,"2,650",4045X1665X1900,8,4X2,FR,-,5,4,CKD,INA,40,45,24,25,78,121,48,20,79,80,46,65,0.1%,0.1%,671
,,,,Gran Max MB 1.5 HI,"1,500",MT,G,43,"1,840","4,875",165R1308PR,88,"2,650",4045X1665X1900,9,4X2,FR,-,5,4,CKD,INA,90,117,55,69,192,273,55,42,166,250,74,150,0.2%,0.2%,"1,533"
,,,,Bongo Van (Export),"1,495",MT,G,43,"2,100","5,125",175R1308PR,97,"2,650",4149X1665X1850,3,4X2,FR,-,2,4,CKD,INA,-,-,-,-,-,28,155,232,81,-,-,-,0.1%,0.1%,496
,,CHERY,PT Handal Indonesia Motor,Tiggo 7 Pro Premium,"1,500",AT,G,51,-,-,-,-,"2,670",4500X1842X1746,5,4X2,-,-,5,4,CKD,INA,-,-,-,-,-,-,-,-,-,1,-,-,0.0%,0.0%,1
,,,,Tiggo 7 Pro Luxury,"1,500",AT,G,51,-,-,-,-,"2,670",4500X1842X1746,5,4X2,-,-,5,4,CKD,INA,1,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,1
,,,,Omda 5 Z,"1,500",CVT,G,-,-,-,-,-,-,-,5,4X2,-,-,5,4,CKD,INA,66,-,1,-,-,-,-,-,-,-,-,-,0.0%,0.0%,67
,,,,Gt,"1,500",CVT,G,-,-,-,-,-,-,-,5,4X2,-,-,5,4,CKD,INA,118,4,-,-,24,26,2,6,1,1,-,-,0.0%,0.0%,182
,,,,Omda E5 Pure,"1,500",CVT,G,-,-,-,-,-,-,-,5,4X2,-,-,5,4,CKD,INA,-,-,-,-,-,-,-,-,115,232,3,4,0.1%,0.0%,354
,,,,Omda 5 Rz,"1,500",CVT,G,-,-,-,-,-,-,-,5,4X2,-,-,5,4,CKD,INA,5,1,-,-,1,-,-,-,1,-,-,-,0.0%,0.0%,8
,,,,Omda E5,"1,500",CVT,G,-,-,-,-,-,-,-,5,4X2,-,-,5,4,CKD,INA,-,273,692,412,767,780,794,500,299,215,1,15,0.7%,0.6%,"4,748"
,,,,iCar 03 RWD,-,CVT,BEV,-,-,-,-,-,-,-,5,4X2,-,-,5,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,89,206,0.0%,0.0%,295
,,,,Tiggo 5X   Classic,"1,500",CVT,G,-,-,-,-,-,-,-,5,4X2,-,-,5,4,CKD,INA,-,-,-,49,2,2,59,-,-,-,-,1,0.0%,0.0%,113
,,,,Tiggo 5X   Champion,"1,500",CVT,G,-,-,-,-,-,-,-,5,4X2,-,-,5,4,CKD,INA,-,-,47,7,7,110,193,290,116,52,2,2,0.1%,0.1%,826
,,BMW,PT. Gaya Motor,X1 sDrive18i  U11 A7 A/T,"1,499",AT,G,45,"2,075",-,225/55 R18 102Y,156,"2,692",4500 x 1845 x 1642,-,4X2,FF,-,-,4,CKD,INA,60,25,2,47,84,89,50,85,51,72,71,42,0.1%,0.1%,678
,,MINI,PT. Gaya Motor,Cooper Countryman F60 CKD AT,"1,499",AT,G,61,"1,990",-,225/50 R18 95W,136,"2,670",4297 x 1822 x 1557,-,4X2,FF,-,-,4,CKD,INA,5,1,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,6
,,NETA,PT Handal Indonesia Motor,NETA V-II EV,-,AT,BEV,-,"2,135",-,225/60R18,160,"2,770",4619x1860x1628,5,4X2,FF,-,5,4,CKD,INA,-,-,-,-,-,168,504,186,78,85,-,-,0.2%,0.1%,"1,021"
,,,,NETA X EV 400 ELITE,-,AT,BEV,-,"2,135",-,225/60R18,160,"2,770",4619x1860x1628,5,4X2,FF,-,5,4,CKD,INA,-,-,-,-,-,-,-,10,6,4,-,-,0.0%,0.0%,20
,,,,NETA X EV 500 ELITE,-,AT,BEV,-,"2,175",-,225/60R18,160,"2,770",4619x1860x1628,5,4X2,FF,-,5,4,CKD,INA,-,-,-,-,-,-,-,-,9,10,-,-,0.0%,0.0%,19
,,,,NETA X EV 500 SUPREME,-,AT,BEV,-,"2,175",-,225/60R18,160,"2,770",4619x1860x1628,5,4X2,FF,-,5,4,CKD,INA,-,-,-,-,-,-,-,-,38,125,2,-,0.0%,0.0%,165
,,DFSK,PT. Sokonindo Automobile,GELORA EC35 BLIND VAN (4X2) A/T,-,AT,BEV,58,"2,035",-,225/60R17,150,"2,780",4680 X 1845 X 1715,7,4X2,FF,-,4,4,CKD,INA,40,-,-,-,-,-,-,-,10,10,10,10,0.0%,0.0%,80
,,,,GELORA EC36 MINI BUS 1.5 (4X2) A/T,-,AT,BEV,58,"2,035",-,225/60R17,150,"2,780",4680 X 1845 X 1715,7,4X2,FF,-,4,4,CKD,INA,20,-,-,-,-,-,-,-,10,10,10,10,0.0%,0.0%,60
,,,,GLORY I0AUTO,"1,498",AT,G,58,"2,035",-,225/60R17,150,"2,780",4680 X 1845 X 1715,7,4X2,FF,-,4,4,CKD,INA,-,30,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,30
,,SERES,PT. Sokonindo Automobile,E502 EV (4X2) A/T,-,-,BEV,-,-,-,-,-,-,-,4,4X2,-,-,-,-,CKD,INA,50,-,-,-,-,30,30,30,-,-,-,-,0.0%,0.0%,140
,,HAVAL,PT. Nasional Asembler,HAVAL JOLION HEV 1.5T  DHT  (4x2) A/T,"1,497",AT,HEV,55,-,-,225/55 R18,190/187,"2,700","4,472 X 1,841 X 1,619",5,4X2,FF,200,5,4,CKD,Indonesia,-,-,-,-,-,-,-,-,13,80,89,18,0.0%,0.0%,200
,,HONDA,PT. Honda Prospect Motor,CITY HB RS,"1,500",CVT,G,40,-,-,16 x 6J,121,"2,600",4349 x 1748 x 1488,-,4X2,FF,-,5,4,CKD,INA,60,125,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,185
,,,,CITY HB RS-HS,"1,500",CVT,G,40,-,-,16 x 6J,121,"2,600",4349 x 1748 x 1488,-,4X2,FF,-,5,4,CKD,INA,60,-,-,-,-,-,-,-,-,-,55,60,0.0%,0.0%,175
,,,,New Mobilio S,"1,497",MT,G,42,-,-,15,118,"2,650",4386 x 1683 x 1603,7,4X2,FF,-,5,4,CKD,INA,120,-,120,120,-,60,-,-,-,-,-,-,0.1%,0.1%,420
,,,,WR-V E,"1,500",MT,G,35,-,-,16 x 7J,119,"2,485",4060 x 1780 x 1608,-,4X2,FF,-,5,4,CKD,INA,30,-,-,30,30,-,30,30,-,30,-,-,0.0%,0.0%,180
,,,,WR-V E,"1,500",CVT,G,35,-,-,16 x 7J,119,"2,485",4060 x 1780 x 1608,-,4X2,FF,-,5,4,CKD,INA,-,60,60,60,60,60,150,90,-,60,60,90,0.1%,0.1%,750
,,,,WR-V RS,"1,500",CVT,G,35,-,-,17 x 7J,119,"2,485",4060 x 1780 x 1608,-,4X2,FF,-,5,4,CKD,INA,762,690,393,560,720,720,660,690,809,631,720,"1,170",1.3%,1.1%,"8,525"
,,,,WR-V RS - HS,"1,500",CVT,G,35,-,-,17 x 7J,119,"2,485",4060 x 1780 x 1608,-,4X2,FF,-,5,4,CKD,INA,120,270,210,210,270,270,450,510,480,300,60,360,0.5%,0.4%,"3,510"
,,,,New HR-V S,"1,497",CVT,G,-,-,-,-,-,-,-,5,4X2,FF,-,5,4,CKD,INA,-,60,-,30,30,-,60,60,30,60,-,-,0.0%,0.0%,330
,,,,New HR-V E,"1,497",CVT,G,-,-,-,-,-,-,-,5,4X2,FF,-,5,4,CKD,INA,270,120,390,30,60,210,210,210,-,30,150,-,0.3%,0.2%,"1,680"
,,,,New HR-V SE,"1,497",CVT,G,-,-,-,-,-,-,-,5,4X2,FF,-,5,4,CKD,INA,"1,683","1,022",914,612,987,"1,041","1,557","1,562","1,722","1,634","1,521","1,671",2.4%,2.0%,"15,926"
,,,,New HR-V RS,"1,497",CVT,G,-,-,-,-,-,-,-,5,4X2,FF,-,5,4,CKD,INA,90,150,120,90,150,120,120,120,-,-,-,-,0.1%,0.1%,960
,,,,BR-V S,"1,500",MT,G,42,-,-,-,-,-,-,7,4X2,FF,-,5,4,CKD,INA,-,-,-,30,-,-,30,-,-,-,-,-,0.0%,0.0%,60
,,,,BR-V E,"1,500",MT,G,42,-,-,-,-,-,-,7,4X2,FF,-,5,4,CKD,INA,-,-,120,90,90,60,90,120,30,30,60,90,0.1%,0.1%,780
,,,,BR-V E,"1,500",CVT,G,42,-,-,-,-,-,-,7,4X2,FF,-,5,4,CKD,INA,90,330,300,150,180,60,270,60,60,210,240,30,0.3%,0.2%,"1,980"
,,,,BR-V E PRESTIGE,"1,500",CVT,G,42,-,-,-,-,-,-,7,4X2,FF,-,5,4,CKD,INA,60,540,630,510,480,480,510,60,300,600,690,690,0.8%,0.7%,"5,550"
,,,,BR-V Prestige-HS,"1,500",CVT,G,42,-,-,-,-,-,-,7,4X2,FF,-,5,4,CKD,INA,90,300,300,150,210,240,360,420,510,-,-,180,0.4%,0.3%,"2,760"
,,,,Brio RS,"1,198",MT,G,35,960,-,-,88,"2,345",3610 x 1680 x 1485,5,4X2,FF,-,4,4,CKD,INA,60,60,120,60,60,120,60,-,-,-,60,60,0.1%,0.1%,660
,,,,Brio RS,"1,198",AT,G,35,960,-,-,88,"2,345",3610 x 1680 x 1485,5,4X2,FF,-,4,4,CKD,INA,780,180,-,180,360,420,540,780,180,720,600,420,0.8%,0.6%,"5,160"
,,HYUNDAI,PT. Hyundai Motor Mftg Indonesia,Creta Active 1.5 MT,"1,500",MT,G,40,"1,590",-,215/60/R17,115,"2,610",4315 x 1790 x 1630,5,4X2,FF,-,5,4,CKD,INA,1,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,1
,,,,Creta Trend 1.5 MT,"1,500",MT,G,40,"1,590",-,215/60/R17,115,"2,610",4315 x 1790 x 1630,5,4X2,FF,-,5,4,CKD,INA,8,-,-,3,4,2,6,2,3,1,-,-,0.0%,0.0%,29
,,,,Creta Trend 1.5 IVT,"1,500",AT,G,40,"1,660",-,215/60/R17,115,"2,610",4315 x 1790 x 1630,5,4X2,FF,-,5,4,CKD,INA,132,81,40,102,38,19,42,42,9,7,22,23,0.1%,0.1%,557
,,,,Creta Style 1.5 IVT,"1,500",AT,G,40,"1,660",-,215/60/R17,115,"2,610",4315 x 1790 x 1630,5,4X2,FF,-,5,4,CKD,INA,176,20,66,72,30,-,-,36,6,3,-,3,0.1%,0.1%,412
,,,,Creta Prime 1.5 IVT,"1,500",AT,G,40,"1,660",-,215/60/R17,115,"2,610",4315 x 1790 x 1630,5,4X2,FF,-,5,4,CKD,INA,239,210,258,87,69,72,7,21,56,49,73,87,0.2%,0.2%,"1,228"
,,,,Creta Prime 1.5 IVT  Two Tone,"1,500",AT,G,40,"1,660",-,215/60/R17,115,"2,610",4315 x 1790 x 1630,5,4X2,FF,-,5,4,CKD,INA,464,240,293,373,61,28,-,-,4,31,70,180,0.3%,0.2%,"1,744"
,,,,Creta Prime 1.5 IVT  Alpha,"1,500",AT,G,40,"1,660",-,215/60/R17,115,"2,610",4315 x 1790 x 1630,5,4X2,FF,-,5,4,CKD,INA,-,334,99,113,103,228,345,249,2,109,45,105,0.3%,0.2%,"1,732"
,,,,Creta FL Active 1.5 MT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,-
