1.  SEDAN TYPE PRODUCTION                `JAN-DEC 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,,SPECIFICATION,,,,,,,,,,,,,,,,,,,,,MONTH,,,,,,,,,,,,Segmt Share,Sedan Share,
,,BRAND,ASSEMBLER,TYPE / MODEL,CC,TRANS,"FUEL
(G/D)","TANK
CAPT","GVW
(Kg)",GEAR RATIO,WHEEL & TYRE SIZE,PS / HP,BASE,P x L x T,SEATER,DRIVE SYS.,,SPEED,DOOR,WHEELS,CBU,"ORIGIN
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,,
,,,,Xforce Type H Export To Vietnam,"1,499",CVT,G,42,"1,730","5,698",225/50R21,103,"2,650",4393 x 1810 x 1660,5,4X2,FF,-,4,4,CKD,INA,285,"1,038","1,727",10,-,-,-,-,-,-,-,-,0.5%,0.4%,"3,060"
,,,,Xforce Export To Jordan,"1,499",CVT,G,42,"1,730","5,698",225/50R22,103,"2,650",4394 x 1810 x 1660,5,4X2,FF,-,4,4,CKD,INA,-,136,48,84,49,47,24,35,46,79,20,98,0.1%,0.1%,666
,,,,Xforce Type H Export To Mauritius,"1,499",CVT,G,42,"1,730","5,698",225/50R23,103,"2,650",4395 x 1810 x 1660,5,4X2,FF,-,4,4,CKD,INA,-,30,-,32,13,-,14,5,5,5,-,6,0.0%,0.0%,110
,,,,Xforce Type M  Export To Costa Rica,"1,499",CVT,G,42,"1,730","5,698",225/50R24,103,"2,650",4396 x 1810 x 1660,5,4X2,FF,-,4,4,CKD,INA,-,30,1,9,11,7,4,26,38,102,57,53,0.1%,0.0%,338
,,,,Xforce Type M  Export To Vietnam,"1,499",CVT,G,42,"1,730","5,698",225/50R25,103,"2,650",4397 x 1810 x 1660,5,4X2,FF,-,4,4,CKD,INA,140,470,534,91,15,-,-,-,-,-,-,-,0.2%,0.2%,"1,250"
,,,,Xforce Export To Lebanon,"1,499",CVT,G,42,"1,730","5,698",225/50R26,103,"2,650",4398 x 1810 x 1660,5,4X2,FF,-,4,4,CKD,INA,-,5,1,5,1,5,1,1,10,24,14,11,0.0%,0.0%,78
,,,,Xforce Type M  Export To Mauritius,"1,499",CVT,G,42,"1,730","5,698",225/50R27,103,"2,650",4399 x 1810 x 1660,5,4X2,FF,-,4,4,CKD,INA,1,19,-,21,9,-,8,-,-,-,2,28,0.0%,0.0%,88
,,,,Xforce Type P Export To Costa Rica,"1,499",CVT,G,42,"1,730","5,698",225/50R28,103,"2,650",4400 x 1810 x 1660,5,4X2,FF,-,4,4,CKD,INA,-,31,8,9,9,7,18,14,23,57,53,66,0.0%,0.0%,295
,,,,Xforce Export To Panama,"1,499",CVT,G,42,"1,730","5,698",225/50R29,103,"2,650",4401 x 1810 x 1660,5,4X2,FF,-,4,4,CKD,INA,-,60,45,49,15,19,22,24,32,54,19,42,0.1%,0.0%,381
,,,,Xforce Type P Export To Mauritius,"1,499",CVT,G,42,"1,730","5,698",225/50R30,103,"2,650",4402 x 1810 x 1660,5,4X2,FF,-,4,4,CKD,INA,-,45,18,28,4,10,12,14,6,4,2,18,0.0%,0.0%,161
,,,,Xforce Type H Export To Egypt,"1,499",CVT,G,42,"1,730","5,698",225/50R18,103,"2,650",4390 x 1810 x 1660,5,4X2,FF,-,4,4,CBU,INA,-,-,175,-,-,100,-,-,-,-,-,-,0.0%,0.0%,275
,,,,Xforce Type M  Export To South Africa,"1,499",CVT,G,42,"1,730","5,698",225/50R18,103,"2,650",4390 x 1810 x 1660,5,4X2,FF,-,4,4,CBU,INA,-,-,1,-,-,-,-,-,-,-,35,15,0.0%,0.0%,51
,,,,Xforce Type P Export To Egypt,"1,499",CVT,G,42,"1,730","5,698",225/50R18,103,"2,650",4390 x 1810 x 1660,5,4X2,FF,-,4,4,CBU,INA,-,-,175,-,-,150,-,-,-,-,-,-,0.0%,0.0%,325
,,,,Xforce Type P Export To South Africa,"1,499",CVT,G,42,"1,730","5,698",225/50R18,103,"2,650",4390 x 1810 x 1660,5,4X2,FF,-,4,4,CBU,INA,-,-,1,-,-,-,-,-,-,1,49,50,0.0%,0.0%,101
,,,,Xforce Export To Philippines,"1,499",CVT,G,42,"1,730","5,698",225/50R18,103,"2,650",4390 x 1810 x 1660,5,4X2,FF,-,4,4,CBU,INA,-,-,14,"1,133","1,139",721,513,499,349,4,220,-,0.7%,0.6%,"4,592"
,,,,Xforce Export To Vietnam,"1,499",CVT,G,42,"1,730","5,698",225/50R18,103,"2,650",4390 x 1810 x 1660,5,4X2,FF,-,4,4,CBU,INA,-,-,-,438,301,287,351,459,303,146,350,69,0.4%,0.3%,"2,704"
,,,,Xforce Type H Export To Mexico,"1,499",CVT,G,42,"1,730","5,698",225/50R18,103,"2,650",4390 x 1810 x 1660,5,4X2,FF,-,4,4,CBU,INA,-,-,-,166,165,165,110,250,275,233,231,480,0.3%,0.3%,"2,075"
,,,,Xforce Type N Export To Philippines,"1,499",CVT,G,42,"1,730","5,698",225/50R18,103,"2,650",4390 x 1810 x 1660,5,4X2,FF,-,4,4,CBU,INA,-,-,-,199,123,33,127,20,401,"1,034",111,-,0.3%,0.3%,"2,048"
,,,,Xforce Type P Export To Mexico,"1,499",CVT,G,42,"1,730","5,698",225/50R18,103,"2,650",4390 x 1810 x 1660,5,4X2,FF,-,4,4,CBU,INA,-,-,-,136,-,-,-,-,-,-,-,-,0.0%,0.0%,136
,,,,Xforce Type Q Export To Cambodia,"1,499",CVT,G,42,"1,730","5,698",225/50R18,103,"2,650",4390 x 1810 x 1660,5,4X2,FF,-,4,4,CBU,INA,-,-,-,80,-,30,50,51,49,-,-,-,0.0%,0.0%,260
,,,,Xforce Type Q Export To Brunei,"1,499",CVT,G,42,"1,730","5,698",225/50R18,103,"2,650",4390 x 1810 x 1660,5,4X2,FF,-,4,4,CBU,INA,-,-,-,3,27,20,20,20,-,37,35,66,0.0%,0.0%,228
,,,,Xforce Export To Mexico,"1,499",CVT,G,42,"1,730","5,698",225/50R18,103,"2,650",4390 x 1810 x 1660,5,4X2,FF,-,4,4,CBU,INA,-,-,-,-,135,135,90,200,225,403,650,871,0.4%,0.3%,"2,709"
,,,,Xforce Export To Vietnam,"1,499",CVT,G,42,"1,730","5,698",225/50R18,103,"2,650",4390 x 1810 x 1660,5,4X2,FF,-,4,4,CBU,INA,-,-,-,-,183,247,97,50,40,32,54,392,0.2%,0.1%,"1,095"
,,,,"Xforce Type H Export To Middle East (Bahrain, Kuwait, Oman, Qatar)","1,499",CVT,G,42,"1,730","5,698",225/50R18,103,"2,650",4390 x 1810 x 1660,5,4X2,FF,-,4,4,CBU,INA,-,-,-,-,-,2,139,70,108,40,30,25,0.1%,0.1%,414
,,,,"Xforce Type P Export To Middle East (Bahrain, Kuwait, Oman, Qatar)","1,499",CVT,G,42,"1,730","5,698",225/50R18,103,"2,650",4390 x 1810 x 1660,5,4X2,FF,-,4,4,CBU,INA,-,-,-,-,-,2,87,115,68,80,45,33,0.1%,0.1%,430
,,,,Xforce Type H Export To Chile,"1,499",CVT,G,42,"1,730","5,698",225/50R18,103,"2,650",4390 x 1810 x 1660,5,4X2,FF,-,4,4,CBU,INA,-,-,-,-,-,-,12,13,14,15,16,14,0.0%,0.0%,84
,,,,Xforce Type M  Export To Chile,"1,499",CVT,G,42,"1,730","5,698",225/50R18,103,"2,650",4390 x 1810 x 1660,5,4X2,FF,-,4,4,CBU,INA,-,-,-,-,-,-,34,26,43,35,39,36,0.0%,0.0%,213
,,,,Xforce Type P Export To Chile,"1,499",CVT,G,42,"1,730","5,698",225/50R18,103,"2,650",4390 x 1810 x 1660,5,4X2,FF,-,4,4,CBU,INA,-,-,-,-,-,-,18,24,40,41,43,32,0.0%,0.0%,198
,,,,"4Wd 2.4Dit 8At M.W 5P R,Mmal  H2","1,499",AT,D,42,"1,730","5,698",225/50R31,103,"2,650",4403 x 1810 x 1660,7,4X2,FF,-,4,4,CKD,INA,35,15,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,50
,,,,"4Wd 2.4Dit 8At M.W 5P R,Mmal  H6","1,499",AT,D,42,"1,730","5,698",225/50R32,103,"2,650",4404 x 1810 x 1660,7,4X2,FF,-,4,4,CKD,INA,86,141,3,-,-,-,-,-,-,-,-,-,0.0%,0.0%,230
,,,,"4Wd 2.4Dit 8At M.W 5P R,Mmal  H7","1,499",AT,D,42,"1,730","5,698",225/50R33,103,"2,650",4405 x 1810 x 1660,7,4X2,FF,-,4,4,CKD,INA,72,46,2,-,-,-,-,-,-,-,-,-,0.0%,0.0%,120
,,,,L100 Ev,-,-,BEV,42,"1,730","5,698",225/50R34,103,"2,650",4406 x 1810 x 1660,5,4X2,FF,-,4,4,CKD,INA,7,14,34,8,11,20,16,-,-,-,-,-,0.0%,0.0%,110
,,MORRIS GARAGE,PT. SAIC MOTOR INDONESIA,4 EV Magnify CKD,-,AT,BEV,-,-,-,215/50 R17,125,"2,705",4278 x 1836 x 1516,5,4X2,RR,-,5,4,CKD,INA,30,50,242,149,-,-,-,-,-,-,-,-,0.1%,0.1%,471
,,,,ZS EV Magnify,-,AT,BEV,-,-,-,215/55 R17,130,"2,585",4323 x 1809 x 1649,5,4X2,FR,-,5,4,CKD,INA,28,91,20,15,-,-,-,-,-,-,-,-,0.0%,0.0%,154
,,,,4 EV Ignite CKD,-,AT,BEV,-,-,-,215/50 R17,125,"2,705",4278 x 1836 x 1516,5,4X2,RR,-,5,4,CKD,INA,5,13,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,18
,,,,ZS EV Ignite,-,AT,BEV,-,-,-,215/55 R17,130,"2,585",4323 x 1809 x 1649,5,4X2,FR,-,5,4,CKD,INA,5,12,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,17
,,SUZUKI,PT. Suzuki Indomobil Motor,APV-GE,"1,495",MT,G,46,"1,950","4,300",185/80 R14,105,"2,625",4225 X 1655 X 1855,8,4X2,FR,-,4,4,CKD,INA,37,1,99,54,68,57,68,65,15,163,164,120,0.1%,0.1%,911
,,,,APV-GL,"1,495",MT,G,46,"1,950","4,300",185/80 R14,105,"2,625",4225 X 1655 X 1855,8,4X2,FR,-,4,4,CKD,INA,36,71,33,37,74,77,34,48,75,93,115,90,0.1%,0.1%,783
,,,,APV-GX,"1,495",MT,G,46,"1,950","4,300",195/65 R15,105,"2,625",4225 X 1655 X 1855,8,4X2,FR,-,4,4,CKD,INA,14,47,2,23,24,39,144,210,157,124,57,49,0.1%,0.1%,890
,,,,APV SGX,"1,495",MT,G,46,"1,950","4,300",195/65 R15,105,"2,625",4225 X 1655 X 1855,7,4X2,FR,-,4,4,CKD,INA,-,-,6,20,12,27,44,56,50,42,23,23,0.0%,0.0%,303
,,,,All  New Ertiga GA,"1,462",MT,G,45,"1,765","4,687",185/65 R15,92,"2,740",4265 X 1695 X 1685,7,4X2,FF,-,4,4,CKD,INA,2,1,1,2,-,-,2,5,5,5,1,12,0.0%,0.0%,36
,,,,All  New Ertiga GL MT,"1,462",MT,G,45,"1,765","4,687",185/65 R15,92,"2,740",4265 X 1695 X 1685,7,4X2,FF,-,4,4,CKD,INA,280,185,57,172,182,130,130,220,205,217,185,105,0.3%,0.3%,"2,068"
,,,,All  New Ertiga GL AT,"1,462",AT,G,45,"1,775","4,545",185/65 R15,92,"2,740",4265 X 1695 X 1685,7,4X2,FF,-,4,4,CKD,INA,134,3,92,128,171,108,84,105,67,93,132,142,0.2%,0.2%,"1,259"
,,,,All  New Ertiga Gx Hybrid Mt,"1,462",AT,HEV,45,"1,855","4,687",185/65 R15,92,"2,740",4265 X 1695 X 1685,7,4X2,FF,-,5,4,CKD,INA,183,111,152,84,114,92,46,153,132,89,74,15,0.2%,0.2%,"1,245"
,,,,All  New Ertiga Gx Hybrid At,"1,462",AT,HEV,45,"1,855","4,687",185/65 R15,92,"2,740",4265 X 1695 X 1685,7,4X2,FF,-,5,4,CKD,INA,402,138,219,56,193,314,356,469,204,295,237,43,0.4%,0.4%,"2,926"
,,,,All  New Ertiga Cr Hybrid Mt,"1,462",AT,HEV,45,"1,855","4,687",185/65 R15,92,"2,740",4265 X 1695 X 1685,7,4X2,FF,-,5,4,CKD,INA,24,15,15,14,15,9,5,-,-,-,-,-,0.0%,0.0%,97
,,,,All  New Ertiga Cr Hybrid At,"1,462",AT,HEV,45,"1,855","4,687",185/65 R15,92,"2,740",4265 X 1695 X 1685,7,4X2,FF,-,5,4,CKD,INA,82,43,42,35,32,19,65,5,26,28,10,-,0.1%,0.0%,387
,,,,All  New Ertiga Cr Hybrid 2Tone Mt,"1,462",AT,HEV,45,"1,855","4,687",185/65 R15,92,"2,740",4265 X 1695 X 1685,7,4X2,FF,-,5,4,CKD,INA,53,38,35,29,33,15,15,10,1,9,5,5,0.0%,0.0%,248
,,,,All  New Ertiga Cr Hybrid 2Tone At,"1,462",AT,HEV,45,"1,855","4,687",185/65 R15,92,"2,740",4265 X 1695 X 1685,7,4X2,FF,-,5,4,CKD,INA,172,118,99,34,51,59,5,66,16,9,30,85,0.1%,0.1%,744
,,,,XL-7 Zeta MT,"1,462",MT,G,45,"1,720","4,353",195/65 R16,105,"2,740",4450 X 1775 X 1710,7,4X2,FF,-,4,4,CKD,INA,238,319,258,184,222,233,209,228,262,242,181,89,0.4%,0.3%,"2,665"
,,,,XL-7 Zeta AT,"1,462",AT,G,45,"1,730","4,375",195/65 R16,105,"2,740",4450 X 1775 X 1710,7,4X2,FF,-,4,4,CKD,INA,236,405,311,330,264,252,235,336,365,437,282,253,0.6%,0.5%,"3,706"
,,,,XL-7 Alpha Hybrid MT,"1,462",MT,HEV,45,"1,720","4,353",195/65 R16,105,"2,740",4450 X 1775 X 1710,7,4X2,FF,-,4,4,CKD,INA,-,-,20,40,37,20,14,15,28,14,10,10,0.0%,0.0%,208
,,,,Xl-7 Alpha Hybrid AT,"1,462",AT,HEV,45,"1,730","4,375",195/65 R16,105,"2,740",4450 X 1775 X 1710,7,4X2,FF,-,4,4,CKD,INA,40,-,50,52,165,108,77,99,-,20,74,103,0.1%,0.1%,788
,,,,Xl-7   Beta Hybrid MT,"1,462",AT,HEV,45,"1,730","4,375",195/65 R16,105,"2,740",4450 X 1775 X 1710,7,4X2,FF,-,5,4,CKD,INA,234,109,143,129,209,91,130,113,97,135,115,29,0.2%,0.2%,"1,534"
,,,,Xl-7 Beta Hybrid AT,"1,462",AT,HEV,45,"1,730","4,375",195/65 R16,105,"2,740",4450 X 1775 X 1710,7,4X2,FF,-,5,4,CKD,INA,774,678,571,450,520,354,437,"1,110","1,045","1,082",997,796,1.3%,1.1%,"8,814"
,,,,Xl-7 Alpha Hybrid MT,"1,462",AT,HEV,45,"1,730","4,375",195/65 R16,105,"2,740",4450 X 1775 X 1710,7,4X2,FF,-,5,4,CKD,INA,98,37,65,49,73,119,87,93,41,109,99,62,0.1%,0.1%,932
,,,,Xl-7 Alpha Hybrid AT,"1,462",AT,HEV,45,"1,730","4,375",195/65 R16,105,"2,740",4450 X 1775 X 1710,7,4X2,FF,-,5,4,CKD,INA,309,256,416,198,340,438,472,401,492,496,369,338,0.7%,0.6%,"4,525"
,,TOYOTA,PT. Toyota Motor Mftg Indonesia,Yaris V (Sport Grade),"1,500",MT,G,42,"1,100",-,195 / 50 R16,106,"2,550",4145 x 1805 x 1500,5,4X2,FF,5,5,4,CKD,INA,5,2,-,-,3,1,1,-,-,-,-,-,0.0%,0.0%,12
,,,,Yaris V (Sport Grade),"1,500",CVT,G,42,"1,100",-,195 / 50 R16,106,"2,550",4145 x 1805 x 1500,5,4X2,FF,7,5,4,CKD,INA,76,38,32,23,47,9,40,30,50,2,5,9,0.1%,0.0%,361
,,,,Yaris Cross,"1,500",-,G,42,"1,100",-,195 / 50 R16,106,"2,550",4145 x 1805 x 1500,5,4X2,FF,7,5,4,CKD,INA,196,58,48,47,106,179,208,164,215,195,227,111,0.3%,0.2%,"1,754"
,,,,Yaris Cross,"1,500",-,G,42,"1,100",-,195 / 50 R16,106,"2,550",4145 x 1805 x 1500,5,4X2,FF,7,5,4,CKD,INA,"1,323","1,233","1,633","1,494","1,021",968,"1,459","1,965","1,461","1,489","1,270",529,2.4%,2.0%,"15,845"
,,,,Yaris Cross,"1,500",-,G,42,"1,100",-,195 / 50 R16,106,"2,550",4145 x 1805 x 1500,5,4X2,FF,7,5,4,CKD,INA,351,358,456,235,428,446,502,490,426,419,544,648,0.8%,0.7%,"5,303"
,,,,Yaris Cross,"1,500",-,G,42,"1,100",-,195 / 50 R16,106,"2,550",4145 x 1805 x 1500,5,4X2,FF,7,5,4,CKD,INA,-,-,19,52,50,131,15,-,-,10,-,7,0.0%,0.0%,284
,,,,Yaris Cross,"1,500",-,G,42,"1,100",-,195 / 50 R16,106,"2,550",4145 x 1805 x 1500,5,4X2,FF,7,5,4,CKD,INA,320,300,160,271,247,271,306,261,213,162,157,245,0.4%,0.4%,"2,913"
,,,,Yaris Cross,"1,500",-,G,42,"1,100",-,195 / 50 R16,106,"2,550",4145 x 1805 x 1500,5,4X2,FF,7,5,4,CKD,INA,5,4,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,9
,,,,Yaris Cross,"1,500",-,G,42,"1,100",-,195 / 50 R16,106,"2,550",4145 x 1805 x 1500,5,4X2,FF,7,5,4,CKD,INA,8,6,-,-,1,-,-,-,-,-,-,-,0.0%,0.0%,15
,,,,Yaris Cross,"1,500",-,G,42,"1,100",-,195 / 50 R16,106,"2,550",4145 x 1805 x 1500,5,4X2,FF,7,5,4,CKD,INA,13,-,10,5,4,-,-,-,-,-,-,-,0.0%,0.0%,32
,,,,Yaris Cross,"1,500",-,G,42,"1,100",-,195 / 50 R16,106,"2,550",4145 x 1805 x 1500,5,4X2,FF,7,5,4,CKD,INA,40,51,51,85,50,36,103,47,52,39,71,52,0.1%,0.1%,677
,,,,Yaris Cross,"1,500",-,G,42,"1,100",-,195 / 50 R16,106,"2,550",4145 x 1805 x 1500,5,4X2,FF,7,5,4,CKD,INA,35,31,49,36,43,32,57,43,77,31,32,26,0.1%,0.1%,492
,,,,Yaris Cross Hev,"1,500",-,HEV,42,"1,100",-,195 / 50 R16,106,"2,550",4145 x 1805 x 1500,5,4X2,FF,7,5,4,CKD,INA,237,172,306,50,139,308,139,410,217,366,399,253,0.5%,0.4%,"2,996"
,,,,Yaris Cross Hev,"1,500",-,HEV,42,"1,100",-,195 / 50 R16,106,"2,550",4145 x 1805 x 1500,5,4X2,FF,7,5,4,CKD,INA,165,127,111,45,63,37,28,26,125,137,193,192,0.2%,0.2%,"1,249"
,,,,Yaris Cross Hev,"1,500",-,HEV,42,"1,100",-,195 / 50 R16,106,"2,550",4145 x 1805 x 1500,5,4X2,FF,7,5,4,CKD,INA,172,27,49,279,22,20,27,27,64,270,13,137,0.2%,0.1%,"1,107"
,,,,Yaris Cross Hev,"1,500",-,HEV,42,"1,100",-,195 / 50 R16,106,"2,550",4145 x 1805 x 1500,5,4X2,FF,7,5,4,CKD,INA,96,33,25,11,9,5,1,341,403,608,254,369,0.3%,0.3%,"2,155"
,,,,Yaris Cross Hev,"1,500",-,HEV,42,"1,100",-,195 / 50 R16,106,"2,550",4145 x 1805 x 1500,5,4X2,FF,7,5,4,CKD,INA,1,-,3,15,7,19,20,17,8,-,-,-,0.0%,0.0%,90
,,,,Yaris Cross Hev,"1,500",-,HEV,42,"1,100",-,195 / 50 R16,106,"2,550",4145 x 1805 x 1500,5,4X2,FF,7,5,4,CKD,INA,100,163,55,101,78,83,70,85,98,93,117,98,0.2%,0.1%,"1,141"
,,,,"Veloz 1,5 At","1,500",CVT,G,45,"1,100",-,205 / 50 R17,105,"2,750",4475 x 1750 x 1700,7,4X2,FF,6,5,4,CKD,INA,788,769,649,59,669,892,"1,244",979,939,830,870,"1,297",1.5%,1.2%,"9,985"
,,,,"Veloz 1,5 Mt","1,500",MT,G,45,"1,100",-,195 / 60 R16,105,"2,750",4475 x 1750 x 1700,7,4X2,FF,5,5,4,CKD,INA,537,479,326,186,217,165,335,482,231,347,382,160,0.6%,0.5%,"3,847"
,,,,"Veloz 1,5 Mt","1,500",MT,G,45,"1,100",-,195 / 60 R16,105,"2,750",4475 x 1750 x 1700,7,4X2,FF,5,5,4,CKD,INA,150,183,95,193,129,80,206,235,127,203,30,27,0.3%,0.2%,"1,658"
,,,,"Veloz 1,5 Mt","1,500",CVT,G,45,"1,100",-,195 / 60 R16,105,"2,750",4475 x 1750 x 1700,7,4X2,FF,5,5,4,CKD,INA,-,-,5,-,5,5,7,15,3,3,3,-,0.0%,0.0%,46
,,,,"Veloz 1,5 At","1,500",CVT,G,45,"1,100",-,205 / 50 R17,105,"2,750",4475 x 1750 x 1700,7,4X2,FF,6,5,4,CKD,INA,"1,527",2,-,"1,102","1,218",485,343,616,270,385,578,708,1.1%,0.9%,"7,234"
,,,,"Veloz 1,5 At","1,500",CVT,G,45,"1,100",-,205 / 50 R17,105,"2,750",4475 x 1750 x 1700,7,4X2,FF,6,5,4,CKD,INA,214,386,146,228,306,131,365,297,208,269,292,390,0.5%,0.4%,"3,232"
,,,,"Veloz 1,5 At","1,500",CVT,G,45,"1,100",-,205 / 50 R17,105,"2,750",4475 x 1750 x 1700,7,4X2,FF,6,5,4,CKD,INA,187,201,375,114,163,207,281,398,283,275,212,227,0.4%,0.4%,"2,923"
,,,,"Veloz 1,5 At","1,500",CVT,G,45,"1,100",-,205 / 50 R17,105,"2,750",4475 x 1750 x 1700,7,4X2,FF,6,5,4,CKD,INA,"1,330","1,140",903,84,"1,095",786,"1,198","1,104","1,024","1,107",912,579,1.7%,1.4%,"11,262"
,,,,"Veloz 1,5 Mt","1,500",MT,G,45,"1,100",-,195 / 60 R16,105,"2,750",4475 x 1750 x 1700,7,4X2,FF,5,5,4,CKD,INA,733,16,7,840,916,564,459,465,223,211,362,510,0.8%,0.7%,"5,306"
,,,,"Veloz 1,5 At","1,500",CVT,G,45,"1,100",-,195 / 60 R16,105,"2,750",4475 x 1750 x 1700,7,4X2,FF,5,5,4,CKD,INA,62,39,112,4,47,62,80,50,54,56,37,49,0.1%,0.1%,652
,,,,"Veloz 1,5 At","1,500",CVT,G,45,"1,100",-,205 / 50 R17,105,"2,750",4475 x 1750 x 1700,7,4X2,FF,6,5,4,CKD,INA,110,9,-,-,-,-,-,-,3,330,153,-,0.1%,0.1%,605
,,,,"Veloz 1,5 At","1,500",CVT,G,45,"1,100",-,205 / 50 R17,105,"2,750",4475 x 1750 x 1700,7,4X2,FF,6,5,4,CKD,INA,569,"1,412",410,298,816,"1,236","1,372","1,106",768,830,377,"1,033",1.5%,1.3%,"10,227"
,,,,"Veloz 1,5 At","1,500",CVT,G,45,"1,100",-,205 / 50 R17,105,"2,750",4475 x 1750 x 1700,7,4X2,FF,6,5,4,CKD,INA,151,16,-,-,-,-,-,-,2,182,10,175,0.1%,0.1%,536
,,,,"Veloz 1,5 Mt","1,500",MT,G,45,"1,100",-,205 / 50 R17,105,"2,750",4475 x 1750 x 1700,7,4X2,FF,6,5,4,CKD,INA,154,323,217,93,106,281,363,169,266,194,142,172,0.4%,0.3%,"2,480"
,,,,"Veloz 1,5 At","1,500",CVT,G,45,"1,100",-,205 / 50 R17,105,"2,750",4475 x 1750 x 1700,7,4X2,FF,6,5,4,CKD,INA,"1,519","2,142","1,485","1,051","1,650","1,289","1,378","1,119","1,381","1,543","2,015","1,596",2.7%,2.3%,"18,168"
,,,PT. Astra Daihatsu Motor,"Avanza 1,3 M/T","1,300",MT,G,45,"1,100",-,185 / 65 R15,105,"2,750",4395 x 1750 x 1700,7,4X2,FF,5,5,4,CKD,INA,216,"1,123",860,431,"1,670","1,271","1,595",696,"1,926","1,733","2,435","1,932",2.4%,2.0%,"15,888"
,,,,"Avanza 1,3 At","1,300",CVT,G,45,"1,100",-,205 / 55 R16,105,"2,655",4395 x 1750 x 1700,7,4X2,FF,4,5,4,CKD,INA,486,648,221,412,761,612,859,700,625,955,914,946,1.2%,1.0%,"8,139"
,,,,"Avanza 1,5 M/T","1,500",MT,G,45,"1,100",-,185 / 65 R15,105,"2,750",4395 x 1750 x 1700,7,4X2,FF,5,5,4,CKD,INA,912,"1,412","1,127","1,005","1,085","1,507",811,"1,763","1,039","1,722","1,200","1,239",2.2%,1.9%,"14,822"
,,,,"Avanza 1,5 At","1,500",CVT,G,45,"1,100",-,205 / 55 R16,105,"2,655",4395 x 1750 x 1700,7,4X2,FF,4,5,4,CKD,INA,902,"1,193","1,438",896,"1,429",966,910,"1,726","1,086","1,519","1,716","2,024",2.4%,2.0%,"15,805"
,,,,Raize 1.2 E M/T,"1,200",MT,G,36,"1,255",-,205 / 65 R16,87,"2,525",4030 x 1710 x 1635,5,4X2,FF,5,5,4,CKD,INA,15,10,5,5,5,22,9,20,37,29,23,15,0.0%,0.0%,195
,,,,Raize 1.2 E M/T,"1,200",MT,G,36,"1,255",-,205 / 65 R16,87,"2,525",4030 x 1710 x 1635,5,4X2,FF,5,5,4,CKD,INA,143,80,218,492,438,327,548,378,403,431,533,488,0.7%,0.6%,"4,479"
,,,,Raize 1.2 E At,"1,200",AT,G,36,"1,255",-,205 / 65 R16,87,"2,525",4030 x 1710 x 1635,5,4X2,FF,5,5,4,CKD,INA,35,93,56,22,19,67,104,16,55,49,60,58,0.1%,0.1%,634
,,,,Raize 1.2 E M/T,"1,200",MT,G,36,"1,255",-,205 / 65 R16,87,"2,525",4030 x 1710 x 1635,5,4X2,FF,5,5,4,CKD,INA,127,25,114,13,136,247,227,74,230,128,145,130,0.2%,0.2%,"1,596"
,,,,Raize 1.2 E At,"1,200",AT,G,36,"1,255",-,205 / 65 R16,87,"2,525",4030 x 1710 x 1635,5,4X2,FF,5,5,4,CKD,INA,-,2,5,-,-,3,9,2,14,-,-,-,0.0%,0.0%,35
,,,,Raize 1.2 G M/T,"1,200",MT,G,36,"1,255",-,205 / 65 R16,87,"2,525",4030 x 1710 x 1635,5,4X2,FF,5,5,4,CKD,INA,75,19,69,401,272,213,287,277,202,157,378,144,0.4%,0.3%,"2,494"
,,,,Raize 1.2 G M/T,"1,200",MT,G,36,"1,255",-,205 / 65 R16,87,"2,525",4030 x 1710 x 1635,5,4X2,FF,5,5,4,CKD,INA,112,69,41,-,232,289,421,271,148,217,330,201,0.4%,0.3%,"2,331"
,,,,Raize 1.2 G At,"1,200",AT,G,36,"1,255",-,205 / 65 R16,87,"2,525",4030 x 1710 x 1635,5,4X2,FF,5,5,4,CKD,INA,20,5,5,12,77,95,78,30,27,43,65,55,0.1%,0.1%,512
,,,,Raize 1.2 Export,"1,200",AT,G,36,"1,255",-,205 / 65 R16,87,"2,525",4030 x 1710 x 1635,5,4X2,FF,5,5,4,CKD,INA,"5,071","5,017","4,724","4,500","5,162","4,416","4,739","5,017","4,402","5,067","5,218","5,301",8.9%,7.3%,"58,634"
,,,,Rush 1.5 G M/T  (Cb),"1,500",MT,G,45,"1,670",-,221 / 65 R16,103,"2,685",4441 x 1695 x 1705,7,4X2,FR,5,5,4,CKD,INA,472,417,157,255,116,174,229,204,117,278,204,350,0.4%,0.4%,"2,973"
,,,,Rush 1.5 G At (Cd),"1,500",AT,G,45,"1,670",-,222 / 65 R16,103,"2,685",4442 x 1695 x 1705,7,4X2,FR,4,5,4,CKD,INA,427,342,101,261,74,98,105,256,175,150,215,409,0.4%,0.3%,"2,613"
,,,,Rush 1.5 S M/T  (Bh),"1,500",MT,G,45,"1,670",-,223 / 65 R16,103,"2,685",4443 x 1695 x 1705,7,4X2,FR,5,5,4,CKD,INA,"2,330",936,"1,003","1,071","1,231",901,"1,479","1,284","1,202","1,197",902,847,2.2%,1.8%,"14,383"
