1.  SEDAN TYPE SALES                                                                                                              `JAN-DEC 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,,SPECIFICATION,,,,,,,,,,,,,,,,,,,,MONTH,,,,,,,,,,,,SHARE BY BRAND,MARKET SHARE,TOTAL 2019
,,BRAND,TYPE MODEL,CC,TRANS,FUEL,"TANK
CAPT","GVW
(Kg)",GEAR RATIO,W HEEL & TYRE SIZE,PS / HP,W HEEL BASE,"DIMENSION
P x L xT",SEATER,DRIVE SYS.,,SPEED,DOOR,W HEELS,CBU / CKD,"ORIGIN
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,,
,,,E 300 AMG,1991,AT,G,66,2295,9,"245/40, 275/35 R19",258,2939,"4,702 x 2,065 x 1,452",5,4X2,FR,-,4,4,CKD,IND,-,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,-
,,,E 300 AVA,1991,AT,G,66,2395,9,245/45 R18,258,2939,"4,686 x 2,065 x 1,468",5,4X2,FR,-,4,4,CKD,IND,-,-,-,-,-,-,-,-,-,-,13,12,0.5%,0.4%,25
,,,E 350 AMG,1991,AT,G,66,2410,9,"245/40, 275/35 R19",299,2939,"4,702 x 2,065 x 1,452",5,4X2,FR,-,4,4,CKD,IND,-,-,-,-,-,-,-,-,-,-,29,48,1.7%,1.2%,77
,,,S 450,2996,AT,G,80,2700,9,"245/45, 275/40 R19",367,3165,"5,255 x 2,130 x 1,494",5,4X2,FR,-,4,4,CKD,IND,-,-,-,-,-,-,-,-,-,-,9,10,0.4%,0.3%,19
,,,C 200 Estate,1991,AT,G,66,2190,9,245/45 R18,204,2840,"4,702 x 2,020 x 1,457",5,4X2,FR,-,5,4,CBU,IND,-,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,-
,,,C 300 Coupe,1991,AT,G,66,2110,9,"225/40, 255/35 R19",258,2840,"4,696 x 2,016 x 1,408",4,4X2,FR,-,2,4,CBU,IND,-,-,-,-,-,-,-,-,-,-,4,1,0.1%,0.1%,5
,,,E 350 ( CBU ),1991,AT,G,66,2295,9,"245/40, 275/35 R19",258,2939,"4,702 x 2,065 x 1,452",5,4X2,FR,-,4,4,CKD,IND,-,-,-,-,-,-,-,-,-,-,1,-,0.0%,0.0%,1
,,,E 300 Coupe,1991,AT,G,66,2320,9,"245/40, 275/35 R19",258,2873,"4,846 x 2,065 x 1,431",4,4X2,FR,-,2,4,CBU,-,-,-,-,-,-,-,-,-,-,-,-,1,0.0%,0.0%,1
,,,S 450 (CBU),3000,-,G,-,-,-,-,-,-,-,-,-,-,-,-,-,CBU,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,-
,,,CLS 350 AMG,1991,AT,G,66,2410,9,"245/35, 275/30 R20",299,2939,"4,996 x 2,069 x 1,436",5,4X2,FR,-,4,4,CBU,-,-,-,-,-,-,-,-,-,-,-,6,4,0.2%,0.2%,10
,,TOYOTA,All New Corolla Altis G,1800,MT,G,55,1250,4,205/55R16,151 / 6400,2700,4620X1776X1460,5,4X2,FF,-,4,4,CBU,Thailand,-,-,-,-,1,-,1,-,-,-,-,-,0.0%,0.0%,2
,,,All New Corolla Altis i.8 G AT,1800,AT,G,55,1250,4,205/55R16,151 / 6400,2700,4620X1776X1460,5,4X2,FF,-,4,4,CBU,Thailand,-,-,-,-,-,-,-,-,11,11,1,-,0.5%,0.4%,23
,,,All New Corolla Altis V AT,1800,AT,G,55,1270,5,21545R17,151 / 6400,2700,4620X1776X1460,5,4X2,FF,-,4,4,CBU,Thailand,-,40,40,19,26,8,10,1,133,68,35,4,8.4%,6.0%,384
,,,All New Corolla Altis 1.8 Hybrid AT,1800,AT,G,55,1250,4,205/55R16,151 / 6400,2700,4620X1776X1460,5,4X2,FF,-,4,4,CBU,Thailand,-,-,-,-,-,-,-,-,7,16,9,6,0.8%,0.6%,38
,,,All New Camry 2.5 G,2500,AT,G,70,1465,3815,215/60R16,181 / 6000,2775,4825X1825X1470,5,4X2,FF,-,4,4,CBU,Thailand,15,15,12,14,19,13,15,20,18,13,10,6,3.7%,2.7%,170
,,,All New Camry 2.5 V,2500,AT,G,70,1465,3815,215/55R17,181 / 6000,2775,4825X1825X1470,5,4X2,FF,-,4,4,CBU,Thailand,78,243,149,118,176,122,111,38,86,80,57,71,29.1%,20.7%,"1,329"
,,,All New Camry 2.5 Hybrid Mi,2500,AT,G,65,1625,3542,215/55R17,156.6 /5700,2775,4825X1825X1470,5,4X2,FF,-,4,4,CBU,Thailand,5,14,9,9,50,13,12,16,8,12,34,41,4.9%,3.5%,223
,,,86 AT,2000,AT,G,50,-,-,215/45/R17,147 / 6.800,2570,4240X1775X1285,5,4X2,FR,-,4,4,CBU,Japan,-,-,-,-,1,-,-,-,-,-,-,-,0.0%,0.0%,1
,,,86 TRD,2000,AT,G,50,-,-,215/45/R17,147 / 6.800,2570,4240X1775X1285,5,4X2,FR,-,4,4,CBU,Japan,-,-,3,1,5,-,7,6,2,-,10,5,0.9%,0.6%,39
,,,86 Aero,2000,AT,G,50,-,-,215/45/R17,147 / 6.800,2570,4240X1775X1285,5,4X2,FR,-,4,4,CBU,Japan,-,-,5,-,1,-,5,4,1,-,4,2,0.5%,0.3%,22
,,,Crown 2.5 Hybrid,2500,AT,G,-,-,-,-,-,-,-,5,4X2,FR,-,4,4,CBU,Japan,-,-,-,-,-,-,-,101,1,-,-,-,2.2%,1.6%,102
,,,Supra 3.0 A/T,2459,AT,HYBRID,50,-,-,-,-,-,-,5,4X2,FR,6,4,4,CBU,Japan,-,-,-,-,-,-,-,-,-,4,1,6,0.2%,0.2%,11
,,,86 MT,2000,MT,G,50,-,-,215/45/R17,147 / 6.800,2570,4240X1775X1285,5,4X2,FR,-,4,4,CBU,Japan,-,-,1,-,1,-,1,-,-,-,-,2,0.1%,0.1%,5
,,TOTAL,,,,,,,,,,,,,,,,,,,,175,382,355,281,418,219,487,481,490,428,471,385,100%,71%,"4,572"
,,CUMULATIVE,,,,,,,,,,,,,,,,,,,,175,557,912,"1,193","1,611","1,830","2,317","2,798","3,288","3,716","4,187","4,572",,,
