1.  SEDAN TYPE SALES                                                                                                              `JAN-DEC 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,,SPECIFICATION,,,,,,,,,,,,,,,,,,,,MONTH,,,,,,,,,,,,SHARE BY BRAND,MARKET SHARE,TOTAL 2019
,,BRAND,TYPE MODEL,CC,TRANS,FUEL,"TANK
CAPT","GVW
(Kg)",GEAR RATIO,W HEEL & TYRE SIZE,PS / HP,W HEEL BASE,"DIMENSION
P x L xT",SEATER,DRIVE SYS.,,SPEED,DOOR,W HEELS,CBU / CKD,"ORIGIN
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,,
,,,Livina E,1498,MT,G,-,-,-,-,-,-,-,-,4X2,-,-,-,-,CKD,INA,-,-,16,3,3,4,2,2,-,-,-,-,0.0%,0.0%,30
,,,Livina EL A/T,1498,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,-,-,CKD,INA,-,-,162,109,1,8,24,23,38,35,46,67,0.1%,0.1%,513
,,,Livina EL M/T,1498,MT,G,-,-,-,-,-,-,-,-,4X2,-,-,-,-,CKD,INA,-,-,257,260,-,26,19,325,236,83,62,42,0.3%,0.2%,"1,310"
,,,Livina VE,1498,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,-,-,CKD,INA,-,-,"1,476",104,24,42,49,174,40,4,16,34,0.4%,0.4%,"1,963"
,,,Livina VL,1498,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,-,-,CKD,INA,-,-,524,175,"1,028",823,643,417,452,220,308,203,1.1%,0.9%,"4,793"
,,,Juke Revolt Grey Interior (MY'14),1499,CVT,G,52,-,-,216 / 55 / R17,"115 / 6,000",2531,"4,135 x 1,765 x 1,566",-,4X2,-,-,5,4,CKD,INA,-,2,3,2,1,-,-,1,1,2,3,-,0.0%,0.0%,15
,,,Juke Revolt Red Interior (MY'14),1500,CVT,G,52,-,-,217 / 55 / R17,"116 / 6,000",2532,"4,135 x 1,765 x 1,567",-,4X2,-,-,5,4,CKD,INA,-,2,2,1,1,-,4,5,8,3,2,-,0.0%,0.0%,28
,,,Juke Revolt 2,1498,CVT,G,52,-,-,215 / 55 / R17,"114 / 6,000",2530,"4,135 x 1,765 x 1,565",-,4X2,-,-,5,4,CKD,INA,2,-,2,1,-,2,3,6,4,2,2,8,0.0%,0.0%,32
,,RENAULT AUTO EURO,Duster 1.5 dCi,1461,MT,D,50,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,India,-,-,-,1,-,-,-,-,-,-,-,-,0.0%,0.0%,1
,,,Duster 1.5 dCi RxL,1461,MT,D,50,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,India,1,-,-,-,-,-,1,-,-,-,-,-,0.0%,0.0%,2
,,,Duster 1.5 dCi RxL (CKD),1461,MT,D,50,1710,4.21,215/65 R 16,85,2673,4315 x 1822 x 1695,5,4X2,FF,155,5,4,CKD,INA,-,-,-,5,7,-,-,-,-,-,-,-,0.0%,0.0%,12
,,RENAULT MAXINDO,Kwid,999,MT,G,28,1109,4,155/80 R13,68,2422,3679 x 1579 x 1478,5,4X2,FF,140,5,4,CBU,-,-,-,-,-,4,4,2,4,3,-,-,-,0.0%,0.0%,17
,,,Kwid Climber,999,MT,G,28,1109,4,155/80 R13,68,2422,3679 x 1579 x 1478,5,4X2,FF,140,5,4,CBU,-,-,-,-,-,-,-,-,-,-,25,14,9,0.0%,0.0%,48
,,SUZUKI,Ignis GL MT,1197,MT,G,43,1430,4388,165/60 R15,85,2360,3715 X 1680 X 1618,5,4X2,FF,-,4,4,CBU,India,121,-,-,-,-,-,172,95,99,96,86,115,0.2%,0.1%,784
,,,Ignis GL AT,1197,AT,G,43,1430,4388,165/60 R15,85,2360,3715 X 1680 X 1618,5,4X2,FF,-,4,4,CBU,India,1,-,-,-,-,-,94,74,51,46,45,60,0.1%,0.1%,371
,,,Ignis GX MT,1197,MT,G,43,1430,4388,185/60 R15,85,2360,3715 X 1680 X 1618,5,4X2,FF,-,4,4,CBU,India,-,363,195,195,96,91,129,119,105,79,150,127,0.4%,0.3%,"1,649"
,,,Ignis GX AT,1197,AT,G,43,1430,4375,185/60 R15,85,2360,3715 X 1680 X 1618,5,4X2,FF,-,4,4,CBU,India,-,450,279,219,181,177,177,168,167,167,183,166,0.5%,0.4%,"2,334"
,,,All New Ertiga GL MT,1462,MT,G,45,1765,4687,185/65 R15,92,2740,4265 X 1695 X 1685,7,4X2,FF,-,4,4,CKD,INA,320,-,-,-,-,-,-,-,-,-,-,-,0.1%,0.1%,320
,,,All New Ertiga GX MT,1462,MT,G,45,1775,4545,185/65 R15,92,2740,4265 X 1695 X 1685,7,4X2,FF,-,4,4,CKD,INA,248,3,-,-,1,-,-,-,-,-,-,-,0.1%,0.0%,252
,,,All New Ertiga GL AT,1462,AT,G,45,1775,4545,185/65 R15,92,2740,4265 X 1695 X 1685,7,4X2,FF,-,4,4,CKD,INA,223,178,-,-,1,-,-,-,-,-,-,-,0.1%,0.1%,402
,,,All New Ertiga GX AT,1462,AT,G,45,1765,4687,185/65 R15,92,2740,4325 X 1695 X 1685,7,4X2,FF,-,4,4,CKD,INA,100,1,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,101
,,,All New Ertiga GX-ESP MT,1462,MT,G,45,1775,4545,185/65 R15,92,2740,4325 X 1695 X 1685,7,4X2,FF,-,4,4,CKD,INA,1,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,1
,,,All New Ertiga GX-ESP AT,1462,AT,G,45,1855,4687,185/65 R15,92,2740,4265 X 1695 X 1685,7,4X2,FF,-,4,4,CKD,INA,2,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,2
,,,All New Ertiga 02 GA,1462,MT,G,45,1765,4687,185/65 R15,92,2740,4265 X 1695 X 1685,7,4X2,FF,-,4,4,CKD,INA,-,-,-,-,29,4,52,17,62,30,50,32,0.1%,0.0%,276
,,,All New Ertiga 02 GL MT,1462,MT,G,45,1765,4687,185/65 R15,92,2740,4265 X 1695 X 1685,7,4X2,FF,-,4,4,CKD,INA,-,-,375,769,676,439,536,523,287,302,588,531,1.1%,0.9%,"5,026"
,,,All New Ertiga 02 GX MT,1462,MT,G,45,1775,4687,185/65 R15,92,2740,4265 X 1695 X 1685,7,4X2,FF,-,4,4,CKD,INA,-,872,968,723,547,371,354,312,386,415,602,365,1.3%,1.1%,"5,915"
,,,All New Ertiga 02 GL AT,1462,AT,G,45,1775,4545,185/65 R15,92,2740,4265 X 1695 X 1685,7,4X2,FF,-,4,4,CKD,INA,-,-,189,226,124,111,175,145,83,101,203,203,0.4%,0.3%,"1,560"
,,,All New Ertiga 02 GX AT,1462,AT,G,45,1765,4545,185/65 R15,92,2740,4325 X 1695 X 1685,7,4X2,FF,-,4,4,CKD,INA,-,"1,001",784,514,528,453,355,330,295,328,496,216,1.2%,1.0%,"5,300"
,,,All New Ertiga SS MT,1462,MT,G,45,1775,4687,185/65 R15,92,2740,4325 X 1695 X 1685,7,4X2,FF,-,4,4,CKD,INA,-,-,231,135,189,267,256,252,196,168,217,271,0.5%,0.4%,"2,182"
,,,All New Ertiga SS AT,1462,AT,G,45,1855,4687,185/65 R15,92,2740,4265 X 1695 X 1685,7,4X2,FF,-,4,4,CKD,INA,-,-,351,215,293,388,367,344,251,244,412,347,0.7%,0.6%,"3,212"
,,,New Baleno,1490,MT,G,-,1650,-,195/55 R15,110,2480,4350 X 1690 X 1545,5,4X2,FF,-,4,4,CBU,India,2,246,40,155,78,45,125,126,36,-,4,58,0.2%,0.2%,915
,,,New Baleno AT,1490,AT,G,-,1650,-,195/55 R15,110,2480,4350 X 1690 X 1545,5,4X2,FF,-,4,4,CBU,India,17,993,460,169,268,264,294,411,345,338,366,376,1.0%,0.8%,"4,301"
,,,New SX4 S-Cros,1490,MT,G,48,1670,-,205/60 R16,109,2600,4300 X 1765 X 1690,5,4X2,FF,-,4,4,CBU,India,38,15,26,5,54,57,1,-,-,-,-,-,0.0%,0.0%,196
,,,New SX4 S-Cros AT,1490,AT,G,48,1670,-,205/60 R16,109,2600,4300 X 1765 X 1690,5,4X2,FF,-,4,4,CBU,India,86,27,97,38,89,107,69,85,39,48,80,84,0.2%,0.2%,849
,,,Carry 1.5 GX,1493,MT,G,42,2085,4875,175/70 R13,78.8,1970,3875 X 1570 X 1915,3,4X2,FR,-,5,4,CKD,INA,79,7,58,98,59,53,18,53,60,13,-,-,0.1%,0.1%,498
,,,APV-GE,1495,MT,G,46,1950,4300,185/80 R14,105,2625,4225 X 1655 X 1855,8,4X2,FR,-,5,4,CKD,INA,99,71,151,173,255,114,237,86,94,86,69,41,0.3%,0.3%,"1,476"
,,,APV-GL,1495,MT,G,46,1950,4300,185/80 R14,105,2625,4225 X 1655 X 1855,8,4X2,FR,-,5,4,CKD,INA,26,34,10,103,208,89,87,115,73,111,97,104,0.2%,0.2%,"1,057"
,,,APV-GX,1495,MT,G,46,1950,4300,195/65 R15,105,2625,4225 X 1655 X 1855,8,4X2,FR,-,5,4,CKD,INA,11,86,130,89,159,75,124,144,121,203,130,127,0.3%,0.3%,"1,399"
,,,APV-GX AT,1495,AT,G,46,1950,5375,195/65 R15,105,2625,4225 X 1655 X 1855,8,4X2,FR,-,5,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,-
,,,APV SGX,1495,MT,G,46,1950,4300,195/65 R15,105,2625,4225 X 1655 X 1855,7,4X2,FR,-,5,4,CKD,INA,-,15,17,23,33,19,35,20,35,52,53,35,0.1%,0.1%,337
,,TOYOTA,All New Avanza 1.3 E BMC 2015,1298,MT,G,45,1085,5125,185/70R14,92 / 6000,2655,4140X1660X1695,7,4X2,FR,4,5,4,CKD,INA,6,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,6
,,,All New Avanza 1.3 E A/T BMC 2015,1298,AT,G,45,1085,5571,185/70R14,92 / 6000,2655,4140X1660X1695,7,4X2,FR,4,5,4,CKD,INA,4,-,(1),-,-,-,-,-,-,-,-,-,0.0%,0.0%,3
,,,All New Avanza 1.3 G BMC 2015,1298,MT,G,45,1085,5125,185/70R14,92 / 6000,2655,4140X1660X1695,7,4X2,FR,4,5,4,CKD,INA,40,(1),-,-,-,-,-,-,-,-,-,1,0.0%,0.0%,40
,,,All New Avanza 1.3 G A/T BMC 2015,1298,AT,G,45,1085,5571,185/70R14,92 / 6000,2655,4140X1660X1695,7,4X2,FR,4,5,4,CKD,INA,2,-,(1),-,-,-,-,-,-,-,-,-,0.0%,0.0%,1
,,,All New Avanza 1.5 G,1495,MT,G,45,1085,4875,185/65R15,104 / 6000,2655,4140X1660X1695,7,4X2,FR,5,5,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,-
,,,All New Avanza Veloz 1.3 BMC 2015,1329,MT,G,45,1085,4875,185/65R15,104 / 6000,2655,4140X1660X1695,7,4X2,FR,5,5,4,CKD,INA,2,-,-,1,-,-,-,-,-,-,-,-,0.0%,0.0%,3
,,,All New Avanza Veloz 1.3 A/T BMC 2015,1329,AT,G,45,1085,5125,185/65R15,104 / 6000,2655,4140X1660X1695,7,4X2,FR,4,5,4,CKD,INA,3,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,3
,,,All New Avanza Veloz 1.5 BMC 2015,1495,MT,G,45,1085,4875,185/65R15,104 / 6000,2655,4140X1660X1695,7,4X2,FR,4,5,4,CKD,INA,1,(1),-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,-
,,,All New Avanza Veloz 1.5 A/T BMC 2015,1495,AT,G,45,1085,5125,185/65R15,104 / 6000,2655,4140X1660X1695,7,4X2,FR,4,5,4,CKD,INA,9,-,-,-,(1),-,-,-,-,-,-,-,0.0%,0.0%,8
,,,Avanza 1.3 A/T Transmover,1298,AT,G,45,1085,5571,185/70R14,92 / 6000,2655,4140X1660X1695,7,4X2,FR,4,5,4,CKD,INA,-,266,592,721,661,277,527,497,455,633,525,517,1.3%,1.0%,"5,671"
,,,New Avanza 1.3 E 2019,1298,MT,G,45,1085,5125,185/70R14,92 / 6000,2655,4140X1660X1695,7,4X2,FR,4,5,4,CKD,INA,713,735,846,989,726,237,993,841,"1,316","1,708",803,448,2.3%,1.9%,"10,355"
,,,New Avanza 1.3 E A/T 2019,1298,AT,G,45,1085,5571,185/70R14,92 / 6000,2655,4140X1660X1695,7,4X2,FR,4,5,4,CKD,INA,67,99,179,107,135,74,124,129,67,168,170,57,0.3%,0.2%,"1,376"
,,,New Avanza 1.3 G 2019,1298,MT,G,45,1085,5125,185/70R14,92 / 6000,2655,4140X1660X1695,7,4X2,FR,4,5,4,CKD,INA,"2,790","2,634","2,712","3,439","2,792",814,"3,110","2,855","4,130","3,009","1,700","2,908",7.4%,5.9%,"32,893"
,,,New Avanza 1.3 G A/T 2019,1298,AT,G,45,1085,5571,185/70R14,92 / 6000,2655,4140X1660X1695,7,4X2,FR,4,5,4,CKD,INA,201,179,579,489,711,726,637,650,370,"1,086",812,201,1.5%,1.2%,"6,641"
,,,New Avanza 1.5 G 2019,1495,MT,G,45,1085,4875,185/65R15,104 / 6000,2655,4140X1660X1695,7,4X2,FR,5,5,4,CKD,INA,87,112,152,53,24,80,59,84,86,18,98,2,0.2%,0.2%,855
,,,New Avanza Veloz 1.3 2019,1329,MT,G,45,1085,4875,185/65R15,104 / 6000,2655,4140X1660X1695,7,4X2,FR,5,5,4,CKD,INA,432,455,583,553,509,87,585,503,793,294,914,141,1.3%,1.0%,"5,849"
,,,New Avanza Veloz 1.3 A/T 2019,1329,AT,G,45,1085,5125,185/65R15,104 / 6000,2655,4140X1660X1695,7,4X2,FR,4,5,4,CKD,INA,70,149,344,146,222,88,170,197,98,45,300,502,0.5%,0.4%,"2,331"
,,,New Avanza Veloz 1.5 2019,1495,MT,G,45,1085,4875,185/65R15,104 / 6000,2655,4140X1660X1695,7,4X2,FR,4,5,4,CKD,INA,738,806,"1,378","1,945",806,460,"1,011","1,877","1,487","1,313",987,597,3.0%,2.4%,"13,405"
,,,New Avanza Veloz 1.5 A/T 2019,1495,AT,G,45,1085,5125,185/65R15,104 / 6000,2655,4140X1660X1695,7,4X2,FR,4,5,4,CKD,INA,400,265,"1,183",652,774,700,632,383,674,542,457,272,1.6%,1.2%,"6,934"
,,,Sienta E 1.5,1497,MT,G,-,-,-,185/60 R15,107 / 6000,-,4235X1695X1690,7,4X2,FR,5,5,4,CKD,INA,1,-,-,-,-,-,-,-,-,-,-,1,0.0%,0.0%,2
,,,Sienta E 1.5 CVT,1497,AT,G,-,-,-,185/60 R15,107 / 6000,-,4235X1695X1690,7,4X2,FR,5,5,4,CKD,INA,-,-,(1),-,13,-,-,-,-,-,-,-,0.0%,0.0%,12
,,,Sienta G 1.5,1497,MT,G,-,-,-,185/60 R15,107 / 6000,-,4235X1695X1690,7,4X2,FR,5,5,4,CKD,INA,11,11,-,-,-,-,-,-,32,57,6,1,0.0%,0.0%,118
,,,Sienta G 1.5 CVT,1497,AT,G,-,-,-,185/60 R15,107 / 6000,-,4235X1695X1690,7,4X2,FR,5,5,4,CKD,INA,3,-,-,25,5,4,3,-,-,-,-,-,0.0%,0.0%,40
,,,Sienta V 1.5,1497,MT,G,-,-,-,195/50 R16,107 / 6000,-,4235X1695X1690,7,4X2,FR,5,5,4,CKD,INA,14,24,2,-,-,-,-,-,35,58,8,9,0.0%,0.0%,150
,,,Sienta V 1.5 CVT,1497,AT,G,-,-,-,195/50 R16,107 / 6000,-,4235X1695X1690,7,4X2,FR,5,5,4,CKD,INA,4,14,24,87,28,2,30,-,101,114,15,19,0.1%,0.1%,438
,,,Sienta Q 1.5 CVT,1497,AT,G,-,-,-,195/50 R16,107 / 6000,-,4235X1695X1690,7,4X2,FR,5,5,4,CKD,INA,32,61,9,1,-,2,-,-,54,90,12,9,0.1%,0.0%,270
,,,ALL New Rush 1.5 G,1496,MT,G,45,1200,5857,215/65R16,104 / 6000,2685,4435X1695X1705,7,4X2,FR,4,5,4,CKD,INA,483,463,190,292,296,214,421,425,488,434,457,323,1.0%,0.8%,"4,486"
,,,ALL New Rush  1.5 G A/T,1496,AT,G,45,1200,5857,215/65R16,104 / 6000,2685,4435X1695X1705,7,4X2,FR,4,5,4,CKD,INA,284,83,372,608,538,228,460,499,374,291,270,240,1.0%,0.8%,"4,247"
,,,ALL New Rush 1.5 TRD Sportivo,1496,MT,G,45,1200,5857,215/60R17,104 / 6000,2685,4435X1695X1705,7,4X2,FR,4,5,4,CKD,INA,"2,655","3,076","1,574","1,811","2,714","1,222","2,612","2,157","3,093","2,352","2,567","1,846",6.3%,5.0%,"27,679"
,,,ALL New Rush 1.5 TRD Sportivo A/T,1496,AT,G,45,1200,5857,215/60R17,104 / 6000,2685,4435X1695X1705,7,4X2,FR,4,5,4,CKD,INA,"1,908",718,"2,932","2,763","2,758","1,171","2,641","3,272","1,782","1,699","1,707","1,806",5.7%,4.5%,"25,157"
,,,New Yaris 1.5 E,1496,MT,G,42,1055,4058,185/60R16,107 / 6000,2550,4145X1730X1500,5,4X2,FF,5,5,4,CKD,INA,-,-,-,(1),-,-,-,-,-,-,-,-,0.0%,0.0%,(1)
,,,New Yaris 1.5 E CVT,1496,AT,G,42,1075,4237,185/60R16,107 / 6000,2550,4145X1730X1500,5,4X2,FF,4,5,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,-,2,0.0%,0.0%,2
,,,New Yaris 1.5 G,1496,MT,G,42,1055,4058,195/50R16,107 / 6000,2550,4145X1730X1500,5,4X2,FF,5,5,4,CKD,INA,-,-,-,11,11,25,22,22,11,2,20,-,0.0%,0.0%,124
,,,New Yaris 1.5 G CVT,1496,AT,G,42,1075,4237,195/50R16,107 / 6000,2550,4145X1730X1500,5,4X2,FF,4,5,4,CKD,INA,31,8,40,71,75,55,74,59,59,42,67,57,0.1%,0.1%,638
,,,New Yaris 1.5 TRD Sportivo,1496,MT,G,42,1055,4058,195/50R16,107 / 6000,2550,4145X1730X1500,5,4X2,FF,5,5,4,CKD,INA,129,66,95,153,153,85,158,131,104,73,81,37,0.3%,0.2%,"1,265"
,,,New Yaris 1.5 TRD Sportivo CVT,1496,AT,G,42,1075,4237,195/50R16,107 / 6000,2550,4145X1730X1500,5,4X2,FF,4,5,4,CKD,INA,540,232,459,547,503,454,654,724,459,274,609,548,1.4%,1.1%,"6,003"
,,VOLKSW AGEN,Polo 1.2 GT TSI AT,1200,AT,G,-,-,-,-,-,-,-,5,4X2,FF,-,5,4,CBU,India,-,12,14,-,1,17,30,23,15,14,17,13,0.0%,0.0%,156
,,,Polo 1.4,1400,AT,G,45,1104,3765,185/60/R15,85,2470,3970 x 1682 x 1485,-,4X2,FF,177,5,4,CBU,Germany,-,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,-
,,,Scirocco 1.4,1400,AT,G,-,1360,3778,235/40/R18,160,2578,4256 x 1810 x 1404,-,4X2,FF,-,3,4,CBU,Germany,3,8,5,-,7,6,7,7,2,-,-,-,0.0%,0.0%,45
,,,Tiguan 1.4 AT,1400,AT,G,64,1510,3949,25/55/R17,150,2604,4426 x 1809 x 1703,-,4X2,FF,193,5,4,CBU,Germany,12,11,8,4,9,-,-,24,7,3,4,4,0.0%,0.0%,86
,,,Tiguan 1.4,1400,AT,G,64,1510,3949,25/55/R17,150,2604,4426 x 1809 x 1703,-,4X2,FF,193,5,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,-
,,,Tiguan Allspace 1.4 TSI AT,1400,AT,G,64,1510,3949,25/55/R17,150,2604,4426 x 1809 x 1703,-,4X2,FF,193,5,4,CKD,INA,-,-,-,-,-,-,-,-,-,12,48,-,0.0%,0.0%,60
,,,T o u r a n,1400,AT,G,-,1568,-,-,-,-,-,-,4X2,FF,-,5,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,-
,,W ULING,Confero S 1.5,1500,MT,G,42,-,4.889,195/60 R15,107,2720,4493X1691X1715,-,4X2,FR,-,5,4,CKD,INA,144,106,397,183,250,194,333,462,650,533,612,"1,492",1.2%,1.0%,"5,356"
,,,Confero S 1.5C,1500,MT,G,42,-,4.889,195/60 R15,107,2720,4530X1691X1730,-,4X2,FR,-,5,4,CKD,INA,60,149,72,42,77,122,95,36,102,118,57,160,0.2%,0.2%,"1,090"
,,,Confero S 1.5L,1500,MT,G,42,-,4.889,195/60 R15,107,2720,4530X1691X1730,-,4X2,FR,-,5,4,CKD,INA,135,338,110,46,180,167,300,99,170,271,121,206,0.5%,0.4%,"2,143"
,,,Confero S 1.5L ACT,1500,MT,G,42,-,4.889,195/60 R15,107,2720,4530X1691X1730,-,4X2,FR,-,5,4,CKD,INA,-,-,-,84,27,65,80,41,32,138,30,51,0.1%,0.1%,548
,,,Cortez 1.5S MT,1500,MT,G,52,-,4058,205/55 R16,129,2750,4780X1816X1755,-,4X2,FF,-,5,4,CKD,INA,-,-,-,1,-,-,-,-,-,-,-,-,0.0%,0.0%,1
,,,Cortez 1.5C MT,1500,MT,G,52,-,4058,205/55 R16,129,2750,4780X1816X1755,-,4X2,FF,-,5,4,CKD,INA,9,-,80,8,10,-,10,35,7,80,69,1,0.1%,0.1%,309
,,,Cortez 1.5C T MT,1500,MT,G,52,-,4058,205/55 R16,129,2750,4780X1816X1755,-,4X2,FF,-,5,4,CKD,INA,-,-,-,-,-,-,21,-,11,14,25,60,0.0%,0.0%,131
,,,Cortez 1.5C T CVT,1500,AT,G,52,-,4058,205/55 R16,129,2750,4780X1816X1755,-,4X2,FF,-,5,4,CKD,INA,-,-,-,215,19,13,55,50,34,107,121,81,0.2%,0.1%,695
,,,Cortez 1.5L T CVT,1500,AT,G,52,-,4058,205/55 R16,129,2750,4780X1816X1755,-,4X2,FF,-,5,4,CKD,INA,-,-,-,280,111,106,189,74,134,144,146,158,0.3%,0.2%,"1,342"
,,,Formo 1.2 BV,1200,MT,G,42,-,4.889,195/60 R15,107,2720,4530X1691X1730,-,4X2,FR,-,5,4,CKD,INA,1,3,52,1,3,1,40,30,16,74,24,49,0.1%,0.1%,294
,,,Formo 1.2,1200,MT,G,42,-,4.889,195/60 R15,107,2720,4530X1691X1730,-,4X2,FR,-,5,4,CKD,INA,-,-,-,-,3,2,-,-,-,-,2,2,0.0%,0.0%,9
,,,Almaz 1.5E+ T CVT,1500,AT,G,-,-,-,-,-,-,-,-,4X2,FR,-,5,4,CKD,INA,-,-,-,-,-,-,623,761,652,310,519,"1,510",1.0%,0.8%,"4,375"
,,,Almaz 1.5E T CVT,1500,AT,G,-,-,-,-,-,-,-,-,4X2,FR,-,5,4,CKD,INA,-,586,397,610,"1,130",596,126,167,102,83,88,400,1.0%,0.8%,"4,285"
,,,Almaz 1.5SE T CVT,1500,AT,G,-,-,-,-,-,-,-,-,4X2,FR,-,5,4,CKD,INA,-,-,-,-,-,-,187,77,77,41,114,347,0.2%,0.2%,843
,,,Almaz 1.5SE T MT,1500,MT,G,-,-,-,-,-,-,-,-,4X2,FR,-,5,4,CKD,INA,-,-,-,-,-,-,132,17,13,13,8,57,0.1%,0.0%,240
,,TOTAL,,,,,,,,,,,,,,,,,,,,"30,307","34,486","42,790","37,824","37,923","24,530","39,096","40,246","41,770","40,101","38,383","35,180",100%,79.4%,"442,636"
,,CUMULATIVE,,,,,,,,,,,,,,,,,,,,"30,307","64,793","107,583","145,407","183,330","207,860","246,956","287,202","328,972","369,073","407,456","442,636",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(4X2) CC 1.501 -  2.500 [G/D] ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
