NO.,SPECIFICATION,,,,,,,,,,,,,,,,,,,,,,MONTH,,,,,,,,,,,,TOTAL
,EXPORTER,,BRAND,MODEL,CC,"TRANS
(AT/MT)","FUEL
(G/D)","TANK
CAPT","GVW
(Kg)",GEAR,WHEEL & TYRE SIZE,PS / HP,WHEEL BASE,"DIMENSI ON
P x L x T",SEATER,DRIVE SYS.,SPEED,,DOOR,WHEELS,CBU / CKD / COMP,"DEST.
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,
CBU EXPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Fortuner,"2,800",-,D,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Oman,-,-,61,66,2,14,11,45,16,-,9,10,234
,,,,Fortuner,"2,800",-,D,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Oman,-,-,-,-,-,-,-,-,-,-,-,3,3
,,,,Fortuner,"2,800",-,D,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Philippines,-,-,-,399,608,421,599,794,835,923,197,103,"4,879"
,,,,Fortuner,"2,800",-,D,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Philippines,-,-,-,-,-,-,-,-,-,-,-,148,148
,,,,Fortuner,"2,800",-,D,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Png,-,-,-,42,1,3,1,-,3,1,-,2,53
,,,,Fortuner,"2,800",-,D,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Qatar,-,-,-,-,-,-,-,-,-,-,-,15,15
,,,,Fortuner,"2,800",-,D,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,S.Arabia,-,-,-,683,31,80,64,52,41,143,114,142,"1,350"
,,,,Fortuner,"2,800",-,D,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,S.Arabia,-,-,-,-,-,-,-,-,-,-,-,114,114
,,,,Fortuner,"2,800",-,D,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Srilanka,-,-,-,-,1,-,-,-,-,-,-,-,1
,,,,Fortuner,"2,800",-,D,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,ST. LUCIA,-,-,-,-,-,-,-,-,-,-,1,-,1
,,,,Fortuner,"2,800",-,D,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,ST. VINCENT,-,-,-,-,-,-,-,-,-,-,1,-,1
