GAIKINDO IMPORT DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
`JAN-DEC  2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,`JAN-DEC  2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NO.,SPECIFICATION,,,,,,,,,,,,,,,,,,,,,MONTH,,,,,,,,,,,,TOTAL
,,IMPORTER,BRAND,MODEL,CC,TRANS,FUEL,TANK,GVW,GEAR,W HEEL &,PS/HP,W HEEL,DIMENSI ON,SEATER,DRIVE SYS.,,SPEED,DOOR,W HEELS,CBU / CKD / COMP,ORIGIN,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,
,,,,,,(AT/MT),(G/D),CAPT,(Kg),RATIO,TYRE SIZE,,BASE,P x L x T,,,,,,,,COUNTRY,,,,,,,,,,,,,
1,CBU IMPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ignis GX MT,1197,MT,G,43,1430,4388,185/60 R15,85,2360,3715 X 1680 X 1618,5,4X2,FF,-,4,4,CBU,India,-,388,231,199,42,83,165,186,156,240,48,2,"1,740"
,,,,Ignis GX AT,1197,AT,G,43,1430,4375,185/60 R15,85,2360,3715 X 1680 X 1618,5,4X2,FF,-,4,4,CBU,India,-,551,243,268,93,164,223,298,235,290,90,3,"2,458"
,,,,New SX4 S-Cros AT,1490,AT,G,48,1670,-,205/60 R16,109,2600,4300 X 1765 X 1690,5,4X2,FF,-,4,4,CBU,India,-,315,83,132,146,44,188,88,141,177,-,3,"1,317"
,,,,New Jimny MT,1462,MT,G,40,1435,4090,195/80 R15,102,2250,3625 X 1645 X 1720,4,4X4,4WD,0,4,4,CBU,Japan,-,-,-,-,12,18,15,-,-,2,-,-,47
,,,,New Jimny AT,1462,AT,G,40,1435,4300,195/80 R15,102,2250,3625 X 1645 X 1720,4,4X4,4WD,0,4,4,CBU,Japan,-,-,-,-,113,56,40,34,27,20,46,41,377
,,,,New Jimny 2TONE MT,1462,MT,G,40,1435,4090,195/80 R15,102,2250,3625 X 1645 X 1720,4,4X4,4WD,0,4,4,CBU,Japan,-,-,-,-,2,4,4,-,-,3,-,-,13
,,,,New Jimny 2TONE AT,1462,AT,G,40,1435,4300,195/80 R15,102,2250,3625 X 1645 X 1720,4,4X4,4WD,0,4,4,CBU,Japan,-,-,-,-,47,27,22,16,22,13,10,18,175
,,,,New Baleno,1490,MT,G,51,1650,-,195/55 R15,110,2480,4350 X 1690 X 1545,5,4X2,FF,-,4,4,CBU,India,-,291,130,57,89,144,139,5,-,-,-,193,"1,048"
,,,,New Baleno AT,1490,AT,G,51,1650,-,195/55 R15,110,2480,4350 X 1690 X 1545,5,4X2,FF,-,4,4,CBU,India,-,"1,455",612,105,575,494,842,40,3,-,-,653,"4,779"
,,,,TOTAL,,,,,,,,,,,,,,,,,,,-,"3,000","1,299",761,"1,119","1,034","2,081",993,878,"1,094",278,916,"13,453"
