NO.,SPECIFICATION,,,,,,,,,,,,,,,,,,,,,MONTH,,,,,,,,,,,,TOTAL
,IMPORTER,BRAND,MODEL,CC,"TRANS
(AT/MT)","FUEL
(G/D)","TANK
CAPT","GVW
(Kg)","GEAR
RATIO","WHEEL &
TYRE SIZE",PS/HP,"WHEEL
BASE","DIMENSI ON
P x L x T",SEATER,DRIVE SYS.,,SPEED,DOOR,WHEELS,"CBU / CKD /
COMP","ORIGIN
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,
CBU IMPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,NX 250,"1,998",AT,G,60,-,-,255 / 60 R18,235 / 4000,"2,660",4630X1845X1630,4,4X2,FR,-,4,4,CBU,Japan,-,2,1,1,-,-,15,-,1,-,-,-,20
,,,NX 300 F-Sport,"1,998",AT,G,60,-,-,255 / 60 R18,235 / 4000,"2,660",4630X1845X1630,4,4X2,FR,-,4,4,CBU,Japan,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,RX 300 Luxury,"1,998",AT,G,72,"2,500",-,-,235 / 4400,"2,790",4890X1895X1690,4,4X2,FR,-,4,4,CBU,Japan,-,27,46,21,12,4,-,-,-,-,-,-,110
,,,RX 300 F-Sport,"1,998",AT,G,72,"2,500",-,-,235 / 4400,"2,790",4890X1895X1690,4,4X2,FR,-,4,4,CBU,Japan,-,53,67,38,21,3,-,-,-,-,-,-,182
,,,UX 250h,"1,998",AT,HYBRID,72,"2,500",-,-,235 / 4400,"2,790",4890X1895X1690,4,4X2,FR,-,4,4,CBU,Japan,-,-,-,-,1,-,-,-,13,8,1,-,23
,,,UX 300e,-,AT,EV,-,-,-,-,-,-,-,4,4X2,FR,-,4,4,CBU,Japan,-,-,2,-,2,-,-,4,87,61,-,-,156
,,,RX 350,"3,456",AT,G,-,-,-,-,-,-,-,4,4X2,FR,-,4,4,CBU,Japan,-,-,-,-,-,-,-,1,-,-,-,-,1
,,,LEXUS RX 350h,"2,487",AT,HYBRID,-,-,-,-,-,-,-,4,4X2,FR,-,4,4,CBU,Japan,-,-,-,-,1,-,-,-,-,-,-,-,1
,,,LEXUS RX 450h+,"2,487",AT,HYBRID,-,-,-,-,-,-,-,4,4X2,FR,-,4,4,CBU,Japan,-,-,-,-,1,-,-,-,-,-,-,-,1
,,,LX 600,"3,456",AT,G,-,-,-,-,-,-,-,4,4X2,FR,-,4,4,CBU,Japan,-,5,16,7,4,7,16,2,1,4,-,-,62
