"WHOLESALES - RETAIL SALES - PRODUCTION - EXPORT IMPORT BY CATEGORY JAN-DEC 2024
A.  WHOLESALES","","","","","","","","","","","","","","","","",""
"CATEGORY","","","MONTH","","","","","","","","","","","","MARKET
2024","SHARE
%",""
"","","","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","","",""
"","SUB TOTAL","","18,694","19,212","17,848","11,920","17,709","16,522","17,464","17,446","16,390","19,314","15,118","16,424","204,061","17.1%",""
"","","","","","","","","","","","","","","","","",""
"PRODUCTION TOTAL","","","106,224","98,741","89,946","73,321","98,058","95,656","109,953","110,023","103,574","111,245","100,387","99,536","1,196,664","100%",""
"PRODUCTION CUM. TOTAL","","","106,224","204,965","294,911","368,232","466,290","561,946","671,899","781,922","885,496","996,741","1,097,128","1,196,664","","",""
"D.  EXPORTS","","","","","","","","","","","","","","","","",""
"CBU (UNIT)","","","33,039","34,871","40,416","30,422","41,109","38,602","40,431","39,801","46,089","46,703","37,130","43,581","472,194","",""
"CKD (SET)","","","4,051","4,708","5,130","1,680","1,622","3,076","5,796","4,268","4,848","4,524","2,952","3,656","46,311","",""
"COMPONENTS (PIECES)","","","15,583,116","10,552,844","13,677,806","9,705,804","14,259,311","13,921,311","17,581,301","16,697,401","10,883,128","9,882,793","10,793,967","9,536,913","153,075,695","",""
"E.  IMPORTS","","","","","","","","","","","","","","","","",""
"CBU (UNIT)","","","4,657","9,906","5,560","6,174","4,590","9,687","10,358","8,350","10,770","11,446","9,587","5,925","97,010","",""
"©GAIKINDO-24","","","","","","","","","","","","","","","","",""
"GAIKINDO
WHOLESALES - RETAIL SALES - PRODUCTION - EXPORT IMPORT BY CATEGORY JAN-DEC 2023/2024
A.  WHOLESALES","","","","","","","","","","","","","","","","",""
