1.   SEDAN  TYPE PRODUCTION                                   `JAN  JUL  2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,,SPECIFICATION,,,,,,,,,,,,,,,,,,,,,MONTH,,,,,,,,,,,,Segmt Share,Sedan Share,TOTAL 2025
,,BRAND,ASSEMBLER,TYPE / MODEL,CC,TRANS,"FUEL
(G/D)","TANK
CAPT","GVW
(Kg)",GEAR RATIO,WHEEL & TYRE SIZE,PS / HP,"WHEEL
BASE","DIMENSION
P x L x T",SEATER,DRIVE SYS.,,SPEED,DOOR,WHEELS,CBU,"ORIGIN
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,,
,,,,Omoda C5  Non-Turbo VIET  Luxury (export),"1,500",CVT,G,-,-,-,-,-,-,-,5,4X2,-,-,5,4,CKD,INA,-,-,-,-,60,118,-,-,-,-,-,-,0.0%,0.0%,178
,,BMW,PT. Gaya Motor,X1 sDrive18i U11 A7 A/T,"1,499",AT,G,45,"2,075",-,225/55 R18 102Y,156,"2,692",4500 x 1845 x 1642,-,4X2,FF,-,-,4,CKD,INA,8,4,-,1,-,-,-,-,-,-,-,-,0.0%,0.0%,13
,,DFSK,PT. Sokonindo Automobile,GELORA EC35 BLIND VAN (4X2) A/T,-,AT,BEV,58,"2,035",-,225/60R17,150,"2,780",4680 X 1845 X 1715,7,4X2,FF,-,4,4,CKD,INA,-,-,60,20,20,-,40,-,-,-,-,-,0.0%,0.0%,140
,,,,GELORA EC36 MINI BUS 1.5 (4X2) A/T,-,AT,BEV,58,"2,035",-,225/60R17,150,"2,780",4680 X 1845 X 1715,7,4X2,FF,-,4,4,CKD,INA,-,-,-,-,-,40,-,-,-,-,-,-,0.0%,0.0%,40
,,SERES,PT. Sokonindo Automobile,E502 EV (4X2) A/T,-,-,BEV,-,-,-,-,-,-,-,4,4X2,-,-,-,-,CKD,INA,-,-,-,-,-,-,60,-,-,-,-,-,0.0%,0.0%,60
,,,,E502 EV B (4X2) A/T,-,-,BEV,-,-,-,-,-,-,-,4,4X2,-,-,-,-,CKD,INA,-,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,-
,,,,3 (E3) L EV (4X2) A/T,-,AT,BEV,-,-,-,-,-,-,-,4,4X2,-,-,-,-,CKD,INA,-,-,-,-,6,10,-,-,-,-,-,-,0.0%,0.0%,16
,,GWM,PT. Nasional Asembler,HAVAL JOLION HEV 1.5T  DHT  (4x2) A/T,"1,497",AT,HYBRID,55,-,-,225/55 R18,190/187,"2,700","4,472 X 1,841 X 1,619",5,4X2,FF,200,5,4,CKD,INA,42,25,-,5,9,5,25,-,-,-,-,-,0.0%,0.0%,111
,,HONDA,PT. Honda Prospect Motor,CITY HB RS,"1,500",MT,G,40,-,-,16 x 6J,121,"2,600",4349 x 1748 x 1488,-,4X2,FF,-,5,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,-
,,,,CITY HB RS,"1,500",CVT,G,40,-,-,16 x 6J,121,"2,600",4349 x 1748 x 1488,-,4X2,FF,-,5,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,-
