1    SEDAN TYPE SALES                                                                                                             `JAN-DEC 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,,SPECIFICATION,,,,,,,,,,,,,,,,,,,,MONTH,,,,,,,,,,,,SHARE BY BRAND,MARKET SHARE,TOTAL 2.024
,,BRAND,TYPE MODEL,CC,TRANS,FUEL,"TANK
CAPT","GVW
(Kg)",GEAR RATIO,WHEEL & TYRE SIZE,PS / HP,WHEEL BASE,"DIMENSION
P x L xT",SEATER,DRIVE SYS.,,SPEED,DOOR,WHEELS,"CBU
/ CKD","ORIGIN
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,,
,,,430i  Coupe AT,1.998,AT,G,59,2.03,-,225/40 R19 93Y; 255/35 R19 96Y,258,2.851,4768 x 1852 x 1383,-,4X2,FR,-,-,4,CBU,Germany,1,1,-,-,-,-,-,-,-,-,-,-,0%,0%,2
,,,430i  Convertible AT,1.998,AT,G,-,-,-,-,-,-,4768 x 1852 x 1384,-,4X2,AWD,-,-,4,CBU,-,-,-,-,-,-,-,18,8,7,6,8,1,1%,0%,48
,,,430i  AT,1.998,AT,G,59,1545,-,"40 R19 93 Y XL, 225/50 R17 98 Y XL;225/50 R17 98 Y XL, 255/35 R19 96",245,2851,4768 x 1852 x 1383,4,4X2,FR,-,2,4,CBU,Germany,-,-,-,-,-,-,13,3,8,4,9,11,1%,0%,48
,,,M4 Convertible Competition M  xDrive 32HK AT,2.993,AT,G,-,-,-,-,-,-,4801 x 1887 x 1398,-,4X4,AWD,-,-,4,CBU,-,-,-,-,-,-,-,-,9,21,16,12,22,2%,1%,80
,,,M4 Coupe Competition M  xDrive 42BA AT,2.993,AT,G,-,-,-,-,-,-,4801 x 1887 x 1399,-,4X4,AWD,-,-,4,CBU,-,-,-,-,-,-,-,1,1,3,1,2,-,0%,0%,8
,,,520i  G60 CKD AT,1.998,AT,G,60,2.335,-,-,190,2.995,5060 x1 900 x 1515,5,4X2,FR,-,-,4,CKD,INA,-,-,-,-,-,-,76,58,100,61,20,20,8%,3%,335
,,,530i  CKD AT,1.998,AT,G,68,3.205,-,245/40 R19 98Y; 275/35 R19 100Y,252,2.975,4963 x 1868 x   1479,-,4X2,FR,-,-,4,CKD,INA,6,2,-,-,-,-,-,-,-,-,-,-,0%,0%,8
,,,520i  G30 CKD AT,1.998,AT,G,68,2.285,-,245/40 R19 98Y; 275/35 R19 100Y,184,2.975,4963 x 1868 x   1479,-,4X2,FR,-,-,4,CKD,INA,1,-,1,-,-,-,-,-,-,-,-,-,0%,0%,2
,,,530e,-,-,PHEV,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Germany,-,-,-,1,-,-,-,-,-,-,1,-,0%,0%,2
,,,520i,1.998,AT,G,-,-,-,-,-,-,-,-,-,-,-,-,4,CBU,Germany,-,-,1,2,-,8,1,-,-,-,-,-,0%,0%,12
