GAIKINDO EXPORT DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
`JAN-DEC 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,`JAN-DEC 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NO.,SPECIFICATION,,,,,,,,,,,,,,,,,,,,,MONTH,,,,,,,,,,,,TOTAL
,EXPORTER,BRAND,MODEL,CC,TRANS,FUEL,TANK,GVW,GEAR,WHEEL  & TYRE SIZE,PS /  HP,WHEEL  BASE,DIMENSI  ON,SEATER,DRIVE SYS.,,SPEED,DOOR,WHEELS,CBU  / CKD  /,DEST.,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,
,,,,,(AT/MT),(G/D),CAPT,(Kg),,,,,P x L  x T,,,,,,,,COUNTRY,,,,,,,,,,,,,
CBU  EXPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Fortuner,"2,700",6AT,G,-,-,-,-,-,-,-,-,4X4,-,-,5,4,CBU,Cf ao Lhd Awp,11,20,47,30,-,65,-,32,45,88,-,-,338
,,,Fortuner,"2,700",6AT,G,-,-,-,-,-,-,-,-,4X4,-,-,5,4,CBU,Cf ao Lhd Jba,26,24,54,-,8,-,85,80,43,6,10,34,370
,,,Fortuner,"2,700",5MT,G,-,-,-,-,-,-,-,-,4X4,-,-,5,4,CBU,Ecuador,11,13,18,25,25,39,19,60,26,-,-,-,236
,,,Fortuner,"2,700",6AT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Grand Cay man,-,1,1,-,1,1,1,-,-,1,1,-,7
,,,Fortuner,"2,700",6AT,G,-,-,-,-,-,-,-,-,4X4,-,-,5,4,CBU,Grenada,-,-,-,-,-,-,1,-,-,-,-,1,2
,,,Fortuner,"2,700",6AT,G,-,-,-,-,-,-,-,-,4X4,-,-,5,4,CBU,Guy ana,1,-,-,-,-,-,-,-,-,-,-,-,1
,,,Fortuner,"2,700",6AT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Jamaica,3,2,-,1,2,-,5,-,2,3,2,1,21
,,,Fortuner,"2,700",6AT,G,-,-,-,-,-,-,-,-,4X4,-,-,5,4,CBU,Jordan,14,48,25,30,30,12,38,7,10,30,25,15,284
,,,Fortuner,"2,700",6AT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Kuwait,170,78,48,28,16,85,34,39,67,17,7,61,650
,,,Fortuner,"2,700",6AT,G,-,-,-,-,-,-,-,-,4X4,-,-,5,4,CBU,Lebanon,20,22,20,19,22,22,24,16,16,12,10,10,213
,,,Fortuner,"2,700",6AT,G,-,-,-,-,-,-,-,-,4X4,-,-,5,4,CBU,Nigeria,13,-,-,-,-,-,-,-,-,-,-,-,13
,,,Fortuner,"2,700",6AT,G,-,-,-,-,-,-,-,-,4X4,-,-,5,4,CBU,Oman,125,96,30,20,13,10,2,13,67,79,75,153,683
,,,Fortuner,"2,700",6AT,G,-,-,-,-,-,-,-,-,4X4,-,-,5,4,CBU,Qatar,17,18,29,11,38,37,23,13,66,124,124,37,537
,,,Fortuner,"2,700",6AT,G,-,-,-,-,-,-,-,-,4X4,-,-,5,4,CBU,Saudi Arabia,409,454,466,449,433,798,711,579,861,991,765,"1,060","7,976"
