1   SEDAN TYPE SALES                                                                                                                                         `JAN-DEC 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,,SPECIFICATION,,,,,,,,,,,,,,,,,,,,MONTH,,,,,,,,,,,,SHARE BY BRAND,MARKET SHARE,TOTAL 2023
,,BRAND,TYPE MODEL,CC,TRANS,FUEL,"TANK
CAPT","GVW
(Kg)",GEAR RATIO,WHEEL & TYRE SIZE,PS / HP,WHEEL BASE,"DIMENSION
P x L xT",SEATER,DRIVE SYS.,,SPEED,DOOR,WHEELS,"CBU
/ CKD","ORIGIN
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,,
,,,E 200 AVA,1991,AT,G,66,2265,9,245/45 R18,184,2939,"4,686 x 2,065 x 1,46",5,4X2,FR,-,4,4,CKD,INA,14,33,37,29,30,27,1,11,10,1,1,1,3.2%,2%,195
,,,E 200 Coupe   (C238)*,2999,AT,G,-,-,-,-,-,-,-,-,4X4,4WD,-,-,-,CBU,-,-,1,1,-,5,3,3,-,4,-,2,-,0.3%,0.2%,19
,,,E 250 AVA,1991,AT,G,66,2255,9,245/45 R18,211,2939,"4,686 x 2,065 x 1,46",5,4X2,FR,-,4,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,-,-,0%,0%,-
,,,E 300 AMG,1991,AT,G,66,2295,9,"245/40, 275/35 R19",258,2939,"4,702 x 2,065 x 1,45",5,4X2,FR,-,4,4,CKD,INA,23,27,25,19,15,18,13,29,31,35,31,11,4.5%,2.9%,277
,,,S 450,2996,AT,G,80,2700,9,"245/45, 275/40 R19",367,3165,"5,255 x 2,130 x 1,49",5,4X2,FR,-,4,4,CKD,INA,20,33,29,7,11,17,7,19,15,4,5,3,2.8%,1.8%,170
,,,EQE 350 (V295),-,AT,BEV,-,-,-,-,-,-,-,5,4X2,FR,-,5,4,CBU,-,-,-,-,-,18,4,1,2,7,7,9,5,0.9%,0.6%,53
,,,S 580e (V223),2999,AT,G,-,-,-,-,-,-,-,5,4X2,FR,-,5,4,CBU,-,-,-,-,1,-,-,-,-,-,-,-,-,0%,0%,1
,,,EQS 450+ (V297),-,AT,BEV,-,-,9,245/45 R18,204,2840,"4,702 x 2,020 x 1,45",5,4X2,FR,-,5,4,CBU,-,-,3,10,11,11,9,1,-,1,5,5,-,0.9%,0.6%,56
,,,E 200 ( CBU ),1991,AT,G,66,2265,9,245/45 R18,184,2939,"4,686 x 2,065 x 1,46",5,4X2,FR,-,4,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,-,-,0%,0%,-
,,,E 300e,1991,AT,G,66,2320,9,"245/40, 275/35 R19",258,2873,"4,846 x 2,065 x 1,43",4,4X2,FR,-,2,4,CBU,-,-,-,-,-,-,1,-,-,-,-,-,-,0%,0%,1
,,,CLS 350 AMG,1991,AT,G,66,2410,9,"245/35, 275/30 R20",299,2939,"4,996 x 2,069 x 1,43",5,4X2,FR,-,4,4,CBU,-,-,-,-,3,2,-,1,1,2,2,-,-,0.2%,0.1%,11
,,,C 300 AMG Line (W206),1998,AT,G,66,-,-,-,-,-,-,4,4X2,FR,-,4,4,CKD,-,54,19,42,4,68,55,73,86,22,31,24,75,9%,5.8%,553
,,,AMG CLA 45 S Shooting Brake (X118),1998,-,-,-,-,-,-,-,-,-,-,4X2,-,-,4,4,CBU,-,-,-,1,-,-,-,-,-,-,-,-,-,0%,0%,1
,,,AMG SL 43,1999,AT,G,-,-,9,-,-,-,-,4,4X2,FR,-,4,4,CBU,-,-,-,-,-,-,-,-,4,3,4,10,1,0.4%,0.2%,22
,,SUBARU,BRZ 2.4 MT  (ZD8),2,AT,G,50,1670,-,215/40 R18,237,2575,"4,265 x 1,775 x 1,31",4,4X2,FR,-,2,4,CBU,Japan,9,8,5,2,3,2,1,2,1,6,-,8,0.8%,0.5%,47
,,,BRZ 2.4 AT  (ZD8),2,AT,G,50,1700,-,215/40 R18,237,2575,"4,265 x 1,775 x 1,31",4,4X2,FR,-,2,4,CBU,Japan,22,18,19,8,7,6,8,6,5,8,5,10,2%,1.3%,122
,,,WRX SEDAN 2.4 MT  (VB),2,MT,G,63,1556,-,245/40 R18,275,2675,"4,670 x 1,825 x 1,46",5,4X4,4WD,-,4,4,CBU,Japan,-,-,2,4,2,4,2,7,-,7,-,-,0.5%,0.3%,28
,,,WRX SEDAN 2.4 AT  tS ES (VB),2,CVT,G,63,1625,-,245/40 R18,275,2675,"4,670 x 1,825 x 1,46",5,4X4,4WD,-,4,4,CBU,Japan,-,-,3,-,3,5,5,-,3,3,3,4,0.5%,0.3%,29
,,TOYOTA,All  New Corolla Altis 1.8 V AT,1800,AT,G,55,1270,5,21545R17,151 / 6400,2700,4620X1776X1460,5,4X2,FF,-,4,4,CBU,Thailand,-,102,29,24,27,26,88,33,40,13,1,1,6.3%,4%,384
,,,All  New Corolla Altis 1.8 Hybrid AT  2022,1800,AT,HYBRI,55,1270,5,21545R17,151 / 6400,2700,4620X1776X1460,5,4X2,FF,-,4,4,CBU,Thailand,-,35,11,9,2,8,-,-,-,-,-,-,1.1%,0.7%,65
,,,New Corolla Altis 1.8 Hybrid AT  2023,1800,AT,HYBRI,55,1270,5,21545R17,151 / 6400,2700,4620X1776X1460,5,4X2,FF,-,4,4,CBU,Thailand,-,-,-,-,-,-,-,-,-,39,17,7,1%,0.7%,63
,,,PRIUS 1.8,1798,AT,G,45,1420,3267,195/65 R15,73 / 5200,2700,4460X1745X1480,5,4X2,FR,5,4,4,CBU,Japan,-,-,-,-,-,-,-,-,-,-,-,1,0%,0%,1
,,,All  New Camry 2.5 G,2500,AT,G,70,1465,3815,215/60R16,181 / 6000,2775,4825X1825X1470,5,4X2,FF,-,4,4,CBU,Thailand,-,-,-,-,-,-,-,-,-,-,-,-,0%,0%,-
,,,All  New Camry 2.5 V,2500,AT,G,70,1465,3815,215/55R17,181 / 6000,2775,4825X1825X1470,5,4X2,FF,-,4,4,CBU,Thailand,17,108,89,58,52,39,26,17,21,15,17,35,8.1%,5.2%,494
,,,All  New Camry 2.5 Hybrid Mi,2500,AT,HYBRID,65,1625,3542,215/55R17,156.6 /5700,2775,4825X1825X1470,5,4X2,FF,-,4,4,CBU,Thailand,2,27,21,23,140,79,22,14,11,15,10,1,6%,3.8%,365
,,,GR 86 AT,1998,AT,G,50,-,-,215/45/R17,147 / 6.800,2570,4240X1775X1285,5,4X2,FR,6,4,4,CBU,Japan,-,6,11,8,19,9,10,3,8,11,9,3,1.6%,1%,97
,,,Supra 3.0 AT,2459,AT,G,50,-,-,-,-,-,-,5,4X2,FR,6,4,4,CBU,Japan,-,-,1,-,-,4,-,-,1,-,3,-,0.1%,0.1%,9
,,,GR Supra 3.0 AT,2459,AT,G,50,-,-,-,-,-,-,5,4X2,FR,6,4,4,CBU,Japan,-,-,-,-,-,-,-,-,-,-,1,-,0%,0%,1
