NO.,SPECIFICATION,,,,,,,,,,,,,,,,,,,,,MONTH,,,,,,,,,,,,TOTAL
,IMPORTER,BRAND,MODEL,CC,"TRANS
(AT/MT)","FUEL
(G/D)","TANK
CAPT","GVW
(Kg)","GEAR
RATIO","WHEEL  &
TYRE SIZE",PS/HP,"WHEEL
BASE","DIMENSI  ON
P x L  x T",SEATER,DRIVE SYS.,,SPEED,DOOR,WHEELS,CBU  /  CKD  / COMP,"ORIGIN
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,
CBU  IMPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A 200 Sedan (V177),1332,AT,G,-,-,-,-,-,-,-,-,-,-,-,-,-,CBU,-,1,1,1,8,11,-,-,-,-,-,-,-,22
,,,CLA 200 AMG Line (C118),1332,AT,G,43,1950,7,225/45 R18,163,2729,"4,695 x  1,999 x  1430",5,4X2,FF,-,4,4,CBU,-,-,12,-,5,61,25,5,-,-,-,-,-,108
,,,C  200 Estate,1991,AT,G,66,2190,9,245/45 R18,204,2840,"4,702 x  2,020 x  1,457",5,4X2,FR,-,5,4,CBU,-,-,-,-,-,-,-,-,1,-,-,-,-,1
,,,C  300 Coupe,1991,AT,G,66,2110,9,"225/40, 255/35 R19",258,2840,"4,696 x  2,016 x  1,408",4,4X2,FR,-,2,4,CBU,-,-,-,-,1,-,-,-,-,-,-,-,-,1
,,,C  200 Coupe,1991,AT,G,-,-,-,-,-,-,-,4,4X2,FR,-,-,-,CBU,-,-,2,-,2,8,2,-,-,-,-,-,-,14
,,,CLS 350 AMG,1991,AT,G,66,2410,9,"245/35, 275/30 R20",299,2939,"4,996 x  2,069 x  1,436",5,4X2,FR,-,4,4,CBU,-,2,4,-,9,15,6,5,5,-,-,-,-,46
,,,Mercedes-AMG E 53 4M+ Coupe   (C,2999,AT,G,-,-,-,-,-,-,-,-,4X4,4WD,-,-,-,CBU,-,-,-,-,2,-,-,-,-,-,-,-,-,2
,,,Mercedes-AMG E 53 4MATIC  Estate,2999,AT,G,-,-,-,-,-,-,-,-,4X4,4WD,-,-,-,CBU,-,2,-,-,2,-,-,1,1,-,-,1,-,7
,,,Mercedes-AMG C  43 Coupe (C205)*,2996,AT,G,-,-,-,-,-,-,-,4,-,-,-,-,-,CBU,-,-,-,-,-,2,1,-,-,-,-,-,-,3
,,,Mercedes-AMG GT 53 4MATIC+ (X29,2999,AT,G,-,-,-,-,-,-,-,4,4X4,4WD,-,-,-,CBU,-,-,-,-,1,1,5,-,6,-,-,2,-,15
,,,Mercedes-May bach S 560 (X222)*,3982,AT,G,-,-,-,-,-,-,-,4,4X2,FR,-,-,-,CBU,-,-,-,-,1,-,2,-,2,-,-,-,-,5
,,,C  200 Cabrio,1991,AT,G,-,-,-,-,-,-,-,4,4X2,FR,-,-,-,CBU,-,-,-,-,-,-,-,1,1,1,-,-,-,3
,,,GLC  300 Coupe,1991,AT,G,66,2430,9,"235/55, 255/50 R19",245,2873,"4,729 x  2,096 x  1,586",5,4X4,4WD,-,5,4,CBU,-,3,2,-,12,10,2,-,-,-,-,-,-,29
,,,GLE 450 (V167),2999,AT,G,85,3000,9,"275/45, 315/40 R21",367,2995,"4,924 x  2,157 x  1,795",7,4X4,4WD,-,5,4,CBU,-,4,9,5,-,5,-,-,-,-,-,-,-,23
,,,Mercedes-AMG G 63,3982,AT,G,100,3200,9,-,585,2890,"4,873 x  2,187 x  1,969",5,4X4,4WD,-,5,4,CBU,-,-,-,24,2,6,1,13,4,2,3,3,1,59
,,,GLS 450 (X167)*,2999,AT,G,-,-,-,-,-,-,-,7,4X2,FR,-,-,-,CBU,-,3,4,3,-,2,-,-,-,-,-,-,-,12
,,,GLA 200 Progressiv e Line ( H247),1332,AT,G,-,-,-,-,-,-,-,4,4X2,FR,-,-,-,CBU,-,-,-,-,-,1,24,40,21,-,-,-,-,86
,,,GLB 200 Progressiv e Line ( X247),1332,AT,G,-,-,-,-,-,-,-,7,4X2,FR,-,-,-,CBU,-,-,-,-,30,86,4,-,33,46,-,5,-,204
,,,GLE 450 Coupe 4MATIC  AMG Line (,2999,AT,G,-,-,-,-,-,-,-,4,4X2,FR,-,-,-,CBU,-,-,-,-,-,1,-,-,-,3,7,17,2,30
,,,Mercedes-AMG GLE 53 Coupe 4MAT,2999,AT,G,-,-,-,-,-,-,-,4,4X4,4WD,-,-,-,CBU,-,-,-,-,-,5,2,-,2,-,6,5,-,20
,,,VITO,2148,AT,D,0,2940,0,-,0,0,-,0,0,0,0,5,0,CBU,Spany ol,1,-,-,2,-,-,-,1,19,-,-,-,23
,,,V 260,1991,AT,G,0,2940,0,-,0,0,-,0,0,0,0,5,0,CBU,Spany ol,1,-,6,-,-,-,9,11,11,-,-,1,39
,,,TOTAL,,,,,,,,,,,,,,,,,,,23,38,39,88,250,79,79,89,82,16,33,4,820
29,PT.  NISSAN  MOTOR  INDONESIA,INFINITI,QX70 3.7,3696,AT,G,-,1940,-,-,-,-,-,-,4X4,AWD,-,5,4,CBU,UK,,,,,,,,,,,,,-
,,,TOTAL,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-
30,PT.  NISSAN  MOTOR  INDONESIA,NISSAN,New X-Trail Hy brid 2.0 CVT,1997,CVT,G,-,1820,-,-,-,-,-,5,4X2,-,-,5,4,CBU,Japan,-,-,-,-,-,-,-,-,-,-,,,-
,,,TOTAL,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-
31,PT.  SAIC  MOTOR  INDONESIA,MG,ZS Excite,1498,AT,G,48,1258,-,205/60 R16,114,2585,4314 x  1809 x  1624,5,4X2,FF,4,5,4,CBU,Thailand,-,-,-,-,-,-,-,-,-,-,-,4,4
,,,ZS Ignite,1498,AT,G,48,1258,-,215/50 R17,114,2585,4314 x  1809 x  1624,5,4X2,FF,4,5,4,CBU,Thailand,-,-,-,-,-,-,-,-,-,-,-,200,200
,,,HS Excite,1490,AT,G,55,1510,-,215/60 R17,162,2720,4574 x  1876 x  1664,5,4X2,FF,7,5,4,CBU,Thailand,-,-,-,-,-,-,-,-,-,-,-,6,6
,,,HS Ignite,1490,AT,G,55,1510,-,235/50 R18,162,2720,4574 x  1876 x  1664,5,4X2,FF,7,5,4,CBU,Thailand,-,-,-,-,-,-,-,-,-,-,-,167,167
,,,TOTAL,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,377,377
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TOTAL  CBU  IMPORT
CUMULATIVE CBU  IMPORT",,,,,,,,,,,,,,,,,,,,,,"2,941","5,262","5,349","2,879","2,063","1,778","1,763","1,470","3,561","3,390","2,629","2,088","35,173"
,,,,,,,,,,,,,,,,,,,,,,"2,941","8,203","13,552","16,431","18,494","20,272","22,035","23,505","27,066","30,456","33,085","35,173",
