NO.,SPECIFICATION,,,,,,,,,,,,,,,,,,,,,MONTH,,,,,,,,,,,,TOTAL
,IMPORTER,BRAND,MODEL,CC,"TRANS
(AT/MT)","FUEL
(G/D)","TANK
CAPT","GVW
(Kg)","GEAR
RATIO","WHEEL  &
TYRE SIZE",PS/HP,"WHEEL
BASE","DIMENSI  ON
P x L  x T",SEATER,DRIVE SYS.,,SPEED,DOOR,WHEELS,CBU  /  CKD  / COMP,"ORIGIN
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,
CBU  IMPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LEXUS UX 300e,-,AT,EV,-,-,-,-,-,-,-,4,4X2,FR,0,4,4,CBU,Japan,-,-,-,-,-,-,1,-,-,-,1,-,2
,,,TOTAL,,,,,,,,,,,,,,,,,,,29,146,186,86,93,29,66,54,72,113,95,4,973
4,PT.  SUZUKI  INDOMOBIL  MOTOR,SUZUKI,Ignis  GL MT,1197,MT,G,43,1430,4388,165/60 R15,85,2360,3715 X 1680 X 1618,5,4X2,FF,-,4,4,CBU,India,-,-,91,67,67,-,74,1,-,-,-,30,330
,,,Ignis  GL AT,1197,MT,G,43,1430,4388,165/60 R15,85,2360,3715 X 1680 X 1618,5,4X2,FF,-,4,4,CBU,India,-,-,48,37,34,-,27,5,19,23,21,7,221
,,,Ignis  GX MT,1197,MT,G,43,1430,4388,185/60 R15,85,2360,3715 X 1680 X 1618,5,4X2,FF,-,4,4,CBU,India,-,-,226,147,86,-,40,1,-,-,-,-,500
,,,Ignis  GX AT,1197,AT,G,43,1430,4375,185/60 R15,85,2360,3715 X 1680 X 1618,5,4X2,FF,-,4,4,CBU,India,-,-,262,170,120,-,53,4,41,-,-,-,650
,,,New SX4 S-Cros,1490,MT,G,48,1670,-,205/60 R16,109,2600,4300 X 1765 X 1690,5,4X2,FF,-,4,4,CBU,India,-,-,8,20,3,-,9,-,20,-,-,-,60
,,,New SX4 S-Cros  AT,1490,AT,G,48,1670,-,205/60 R16,109,2600,4300 X 1765 X 1690,5,4X2,FF,-,4,4,CBU,India,-,-,-,-,-,-,-,-,30,-,18,1,49
,,,New Jimny  MT,1462,MT,G,40,1435,4090,195/80 R15,102,2250,3625 X 1645 X 1720,4,4X4,4WD,0,4,4,CBU,Japan,9,33,5,-,-,7,-,-,1,9,-,-,64
,,,New Jimny  AT,1462,AT,G,40,1435,4300,195/80 R15,102,2250,3625 X 1645 X 1720,4,4X4,4WD,0,4,4,CBU,Japan,52,58,61,69,-,18,14,44,22,32,97,109,576
,,,New Jimny  2TONE MT,1462,MT,G,40,1435,4090,195/80 R15,102,2250,3625 X 1645 X 1720,4,4X4,4WD,0,4,4,CBU,Japan,2,12,4,-,-,5,-,2,1,-,-,-,26
,,,New Jimny  2TONE AT,1462,AT,G,40,1435,4300,195/80 R15,102,2250,3625 X 1645 X 1720,4,4X4,4WD,0,4,4,CBU,Japan,28,5,43,35,-,17,1,7,19,14,44,49,262
,,,New Baleno,1490,MT,G,51,1650,-,195/55 R15,110,2480,4350 X 1690 X 1545,5,4X2,FF,-,4,4,CBU,India,7,19,54,24,10,-,14,28,136,48,13,4,357
,,,New Baleno AT,1490,AT,G,51,1650,-,195/55 R15,110,2480,4350 X 1690 X 1545,5,4X2,FF,-,4,4,CBU,India,146,199,302,154,68,-,96,136,578,265,50,3,"1,997"
,,,TOTAL,,,,,,,,,,,,,,,,,,,244,326,"1,104",723,388,47,328,228,867,391,243,203,"5,092"
5,PT.  MITSUBISHI  MOTORS KRAMA YUDHA INDONESIA,MITSUBISHI  MOTORS,Eclipse Cross,1499,AT,G,63,2100,-,225/55 R18,150,2670,4405 X 1805 X 1674,5,4X2,FF,-,4,4,CBU,Japan,33,150,90,47,-,28,-,-,-,-,-,-,348
,,,Outlander   PHEV,2360,AT,ELECTRIC,45,2390,3789,225/55 R18,128,2670,4695 X 1800 X 1710,5,4X4,AWD,-,4,4,CBU,JPN,-,7,7,-,-,-,-,-,-,-,-,-,14
,,,Pajero Sport 2.4L DAKAR  (4x2) 8AT,2442,AT,D,70,2650,3692,265/60 R18,181,2800,4785 X 1815 X 1805,7,4X2,FR,-,4,4,CBU,Thailand,141,183,-,-,-,-,-,-,-,-,-,-,324
,,,Pajero Sport 2.5 L EXCEED  (4X2) MT,2477,MT,D,70,2650,4100,265/65 R17,136,2800,4697 X 1815 X 1840,7,4X2,FR,-,4,4,CBU,Thailand,23,37,-,-,-,-,-,-,-,-,-,-,60
,,,Triton 2.5L DC  EXCEED  (4X4) MT,2477,AT,D,75,2760,4636,245/75/R16,178,3000,5255 X 1815 X 1795,5,4X4,4WD,165,4,4,CBU,Thailand,-,134,35,54,-,-,-,-,-,-,-,-,223
,,,Triton SU  2.5L HP-E D  CAB Ultimate,2442,AT,D,75,2870,4272,265/60 R18,181,3000,5305 X 1815 X 1795,5,4X4,4WD,0,4,4,CBU,Thailand,-,156,-,65,-,-,-,-,35,-,70,30,356
,,,Triton 2.5L DC  GLS (4X4) MT,2477,MT,D,75,2760,4636,245/75/R16,178,3000,5205 X 1815 X 1795,5,4X4,4WD,165,4,4,CBU,Thailand,-,230,28,125,-,-,-,-,-,-,-,-,383
,,,Triton 2.5L DC  HDX (4X4) MT,2477,MT,D,75,2760,4636,245/75/R16,178,3000,5205 X 1815 X 1795,5,4X4,4WD,165,4,4,CBU,Thailand,-,134,-,-,-,-,-,-,-,85,45,450,714
,,,Triton 2.5L SC  HDX (4X4) MT,2477,MT,D,75,2760,4636,245/75/R16,178,3000,5080 X 1815 X 1795,5,4X4,4WD,165,4,4,CBU,Thailand,149,137,56,5,-,-,-,-,-,-,-,-,347
,,,Triton 2.5L SC  GLX (4X2) MT,2500,MT,D,75,2550,4636,245/ 75 R16,97,3000,5040 X 1750 X 1775,2,4X2,FR,141,2,4,CBU,Thailand,-,-,40,34,-,-,-,-,-,-,-,-,74
,,,TOTAL,,,,,,,,,,,,,,,,,,,346,"1,168",256,330,-,28,-,-,35,85,115,480,"2,843"
6,PT.  KRAMA YUDHA TIGA BERLIAN  MOTORS,MITSUBISHI  FUSO,FI  1217 (4X2) M/T,3907,MT,D,160,12700,6330,"8.25-20,16 PR",170,3760,3.760 X 6.035 X 2.225,3,4X2,FR,80,2,6,CBU,India,-,-,-,-,-,-,-,-,-,-,-,,-
,,,TOTAL,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-
7,PT.  ASTRA DAIHATSU  MOTOR,DAIHATSU,All New Sirion MT 2018,1329,MT,G,36,980,4267,185/55 R15,95,2500,3895X1735X1525,5,4X2,FF,-,5,4,CBU,Malay sia,20,10,30,-,-,-,-,-,10,-,20,-,90
,,,All New Sirion AT 2018,1329,AT,G,36,1000,4032,185/55 R15,95,2500,3895X1735X1525,5,4X2,FF,-,5,4,CBU,Malay sia,-,60,-,-,-,-,-,-,-,-,-,-,60
,,,All New Sirion AT 2020,1329,AT,G,36,1000,4032,185/55 R15,95,2500,3895X1735X1525,5,4X2,FF,-,5,4,CBU,Malay sia,-,-,160,-,-,-,-,20,20,-,40,-,240
,,,TOTAL,,,,,,,,,,,,,,,,,,,20,70,190,-,-,-,-,20,30,-,60,-,390
8,PT.  TJAHJA SAKTI  MOTOR,BMW,8 series,3000-6000,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Germany,-,-,7,3,1,-,-,-,-,1,-,-,12
,,,6 series,-,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Germany,-,-,2,2,-,-,-,-,-,-,-,-,4
,,,4 series,-,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Germany,-,-,-,-,-,-,-,-,1,-,-,-,1
,,,3 series,-,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Germany,-,2,17,7,-,-,-,-,-,-,-,-,26
,,,X 2 series,,AT,G,-,-,-,-,-,-,-,-,,,-,5,4,CBU,Germany,-,-,5,1,-,-,-,-,1,-,1,-,8
,,,X 3 series,2500,AT,G,-,-,-,-,-,-,-,-,4X4,4WD,-,5,4,CBU,Germany,-,-,-,-,-,-,-,-,2,2,-,6,10
,,,X 4 series,2500,AT,G,-,-,-,-,-,-,-,-,4X4,4WD,-,5,4,CBU,Germany,-,-,-,-,-,-,2,-,1,-,-,-,3
,,,X 5 series,3000,AT,G,-,-,-,-,-,-,-,-,4X4,4WD,-,5,4,CBU,Germany,-,-,-,-,-,-,-,-,-,-,2,-,2
,,,X 6 & 7 series,3000,AT,G,-,-,-,-,-,-,-,-,4X4,4WD,-,5,4,CBU,Germany,-,-,8,23,4,40,9,1,20,-,1,-,106
,,,M series,4000,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,3,4,CBU,Germany,-,-,8,11,4,1,-,5,16,15,4,-,64
,,,Z4 series,-,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,3,4,CBU,Germany,-,-,8,1,-,-,-,-,2,-,-,-,11
,,,i3 series,-,-,HY BRID,-,-,-,-,-,-,-,-,4X2,-,-,-,-,CBU,Germany,-,-,3,-,-,-,-,1,-,-,-,-,4
,,,i8 series,-,-,HY BRID,-,-,-,-,-,-,-,-,-,-,-,-,-,CBU,Germany,-,-,-,-,-,-,-,1,-,-,-,-,1
,,,TOTAL,,,,,,,,,,,,,,,,,,,-,2,58,48,9,41,11,8,43,18,8,6,252
9,PT.  TJAHJA SAKTI  MOTOR                                                                         MINI,,Cooper,850-1275,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,3,4,CBU,Germany,-,-,135,18,84,-,54,47,35,6,3,2,384
,,,TOTAL,,,,,,,,,,,,,,,,,,,-,-,135,18,84,-,54,47,35,6,3,2,384
10,PT.  DUTA PUTERA SUMATERA ( SUN  MOTOR  GROUP ),MAN  TRUCK,"TGS 40,400 BBS-WW",10500,MT,D,400,80000,6.82 :  1,12.00 R  24,400,3900,7592 X 2476 X 3367,3,6X4,FR,89,2,10,CBU,Germany,-,-,2,-,3,1,-,-,-,-,-,-,6
,,,"TGS 40,440 BBS-WW",12500,MT,D,400,120000,6.82 :  1,12.00 R  24,440,3900,7592 X 2476 X 1558,3,6X6,FR,89,2,10,CBU,Germany,-,1,-,-,2,-,-,-,-,-,-,-,3
,,,"TGS 41,480 BB-WW",12500,AT,D,400,50000,-,-,-,-,-,-,8X4,FR,-,2,12,CBU,Germany,1,-,-,-,-,-,-,-,-,-,-,-,1
,,,TOTAL,,,,,,,,,,,,,,,,,,,1,1,2,-,5,1,-,-,-,-,-,-,10
11,PT.  TJAHJA SAKTI  MOTOR,PEUGEOT,New 3008 AT Allure,1598,AT,G,60,1459,6,225/50 R17,163,2613,4.365 x  1.836 x  1.639,5,4X2,FF,-,5,4,CBU,Malay sia,-,24,24,-,-,24,-,24,-,24,-,-,120
,,,New 5008 AT Allure,1598,AT,G,60,1459,6,215/50 R17,156,2727,4.529 x  2.118 x  1.644,7,4X2,FF,-,5,4,CBU,Malay sia,-,24,24,24,-,-,-,24,-,24,-,-,120
,,,TOTAL,,,,,,,,,,,,,,,,,,,-,48,48,24,-,24,-,48,-,48,-,-,240
12,PT.  GAYA MAKMUR  MOBIL,FAW,Tractor Head (DB300TH),7700,MT,D,350,41005,-,-,-,-,-,-,4X2,-,-,2,4,CBU,China,-,-,5,-,-,-,-,-,-,-,-,-,5
,,,Tractor Head (FD350TH),8600,MT,D,400,49000,4.44,R20-11.00,350,150 + 13,6793 x  2500 x  3450,2,6X4,FR,93,2,10,CBU,China,-,-,2,-,-,-,-,-,-,-,-,-,2
,,,Chassis  (FD336CG),9726,MT,D,400,32000,-,-,-,-,-,-,6X4,-,-,2,6,CBU,China,-,-,2,-,-,-,-,-,-,-,-,-,2
,,,Chassis  (HD360CG),9726,MT,D,400,38000,-,-,-,-,-,-,8X4,-,-,2,8,CBU,China,-,-,25,-,-,-,-,-,-,-,-,-,25
